piece,set_ID
1,390: 
1,391: 
1,392: 
1,393: 
,800: 
,801: 
,802: 
,803: 
,804: 
,805: 
,806: 
,807: 
40,808: 
38,809: 
,811: 
,812: 
,813: 
,814: 
,815: 
,816: 
,1000: 
,1014: 
,1019: 
,1020: 
12,1021: 
2,1022: 
,1023: 
,1028: 
,1039: 
4,1040: 
6,1041: 
12,1042: 
,1043: 
6,1044: 
,1045: 
6,1046: 
,1047: 
,1048: 
,1050: 
,1071: 
,1083: 
,1090: 
,1092: 
,1093: 
,1179: 
,1343: 
1,1503: 
1,1504: 
,1505: 
,1506: 
,1507: 
,1511: 
,1523: 
,1524: 
1,1525: 
,1526: 
1,1528: 
,1554: 
19,1555: 
,1556: 
1,1557: 
2,1558: 
1,1570: 
1,1572: 
1,1580: 
4,1589: 
3,1618: 
4,1619: 
,1926: 
1,1963: 
,2014: 
,2050: 
,2051: 
,2052: 
1,2057: 
,2059: 
6,2750: 
2,2752: 
1,2754: 
1,2756: 
1,2758: 
,2760: 
5,2770: 
1,3633: 
2,3644: 
3,3668: 
2,3679: 
1,3718: 
1,3796: 
,5510: 
,5540: 
,5580: 
2,6012: 
2,6023: 
2,6041: 
4,6067: 
6,6074: 
6,6301: 
,6310: 
,6311: 
,6312: 
,6313: 
1,6359: 
2,6360: 
1,6361: 
2,6378: 
2,6379: 
4,6386: 
1,6450: 
1,6480: 
1,6612: 
1,6613: 
1,6634: 
1,6658: 
2,6659: 
2,6676: 
1,6677: 
1,6698: 
6,6702: 
2,6750: 
1,6780: 
3,6783: 
2,6802: 
1,6820: 
1,6845: 
2,6874: 
2,6892: 
2,6926: 
2,6940: 
4,6985: 
1,7813: 
2,7823: 
2,7839: 
,8035: 
,8055: 
1,8620: 
1,8640: 
2,8660: 
2,8680: 
,8842: 
,8849: 
,9006: 
,9060: 
4,9150: 
10,9151: 
8,9356: 
,9360: 
