piece,set_ID
1,4962: 
1518,10241: 
1077,10242: 
2469,10243: 
1746,10244: 
883,10245: 
9,10521: 
12,10522: 
29,10524: 
121,10525: 
39,10526: 
14,10527: 
26,10528: 
16,10529: 
39,10532: 
30,10538: 
37,10539: 
55,10542: 
19,10543: 
40,10544: 
59,10545: 
39,10546: 
135,10565: 
52,10566: 
18,10567: 
16,10568: 
46,10569: 
30,10570: 
65,10571: 
65,10572: 
25,10573: 
24,10574: 
75,10575: 
9,10576: 
135,10577: 
16,10579: 
95,10580: 
55,10665: 
75,10666: 
160,10667: 
150,10668: 
107,10669: 
123,10671: 
150,10672: 
350,10673: 
306,10674: 
146,10675: 
480,10676: 
600,10681: 
1000,10682: 
321,21019: 
731,21020: 
295,21104: 
440,21107: 
508,21108: 
321,21109: 
165,21110: 
249,21113: 
262,21114: 
408,21115: 
518,21116: 
634,21117: 
922,21118: 
256,21204: 
212,21205: 
223,21206: 
263,21208: 
5,30067: 
,30067: 
,30067: 
,30067: 
,30067: 
6,30068: 
33,30112: 
28,30113: 
29,30114: 
31,30115: 
37,30116: 
56,30187: 
54,30188: 
49,30189: 
60,30197: 
48,30226: 
36,30227: 
40,30228: 
40,30229: 
45,30244: 
57,30246: 
54,30247: 
34,30262: 
40,30263: 
32,30264: 
31,30265: 
25,30266: 
47,30271: 
33,30280: 
27,30281: 
40,30282: 
57,30300: 
45,30301: 
45,30302: 
40,30310: 
66,31013: 
64,31014: 
56,31015: 
119,31017: 
129,31018: 
272,31019: 
216,31020: 
285,31021: 
186,31022: 
328,31023: 
374,31024: 
550,31025: 
1023,31026: 
127,40085: 
106,40086: 
156,40090: 
125,40091: 
139,40092: 
140,40093: 
46,40094: 
50,40095: 
62,40096: 
44,40097: 
43,40098: 
33,40099: 
46,40100: 
46,40101: 
37,40102: 
48,40103: 
36,40104: 
54,40105: 
107,40106: 
129,40107: 
66,40108: 
59,40109: 
122,40110: 
144,40112: 
201,40114: 
320,40115: 
31,40116: 
28,40117: 
203,40118: 
164,40180: 
139,40181: 
175,40182: 
186,40183: 
41,40190: 
46,40191: 
48,40192: 
51,40193: 
64,40194: 
95,40195: 
95,40196: 
233,41026: 
112,41027: 
78,41028: 
78,41029: 
98,41030: 
119,41031: 
156,41032: 
183,41033: 
297,41034: 
277,41035: 
365,41036: 
369,41037: 
472,41038: 
721,41039: 
228,41040: 
43,41041: 
42,41042: 
46,41043: 
39,41044: 
37,41045: 
37,41046: 
37,41047: 
43,41048: 
47,41049: 
77,41050: 
145,41051: 
250,41052: 
274,41053: 
299,41054: 
646,41055: 
278,41056: 
355,41057: 
1120,41058: 
320,41059: 
58,41500: 
69,41501: 
45,41502: 
66,41503: 
50,41504: 
51,41505: 
54,41506: 
61,41507: 
70,41508: 
61,41509: 
51,41510: 
46,41511: 
68,41512: 
57,41513: 
61,41514: 
70,41515: 
69,41516: 
68,41517: 
64,41518: 
62,41519: 
48,41520: 
72,41521: 
70,41522: 
69,41523: 
64,41524: 
61,41525: 
70,41526: 
145,42020: 
186,42021: 
414,42022: 
833,42023: 
948,42024: 
1297,42025: 
137,42026: 
148,42027: 
617,42028: 
1063,42029: 
1636,42030: 
51,44015: 
49,44016: 
