piece,set_ID
,1576: 
,1701: 
1,1702: 
,1703: 
1,1704: 
,1705: 
,1706: 
,1708: 
,1709: 
1,1710: 
1,1711: 
1,1712: 
1,1713: 
,1716: 
,1720: 
,1721: 
,1722: 
,1723: 
,1724: 
,1725: 
,1726: 
,1727: 
,1729: 
1,1730: 
1,1731: 
1,1732: 
1,1733: 
,1738: 
1,1740: 
1,1741: 
1,1742: 
2,1755: 
,1757: 
158,1775: 
1,1790: 
1,1791: 
1,1792: 
1,1794: 
1,1795: 
,1798: 
28,1865: 
1,1871: 
2,1872: 
1,1873: 
,1900: 
,1904: 
3,1906: 
1,1922: 
,1935: 
,1945: 
11,2317: 
1,2327: 
,2337: 
,2347: 
,2352: 
46,2359: 
2,2380: 
2,2390: 
1,2393: 
2,2394: 
1,2396: 
1,2397: 
1,2398: 
1,2444: 
1,2445: 
5,2608: 
4,2616: 
1,2621: 
1,2621: 
10,2680: 
2,2681: 
5,2682: 
5,2688: 
3,2689: 
11,2738: 
2,2784: 
1,2786: 
11,2787: 
1,2788: 
2,2789: 
2,2790: 
44,2792: 
3,2794: 
2,2795: 
84,4525: 
143,4544: 
587,4564: 
,5092: 
,5094: 
,5121: 
22,5122: 
,5124: 
,5137: 
,5138: 
,5139: 
,5245: 
35,5278: 
4,5281: 
,5282: 
4,5283: 
3,5284: 
,5285: 
,5286: 
,5308: 
,5591: 
52,5860: 
92,5870: 
2,5880: 
4,5890: 
45,6236: 
2,6246: 
2,6256: 
5,6262: 
214,6264: 
428,6278: 
2,6340: 
2,6341: 
3,6348: 
152,6350: 
47,6402: 
4,6410: 
243,6483: 
1,6514: 
1,6515: 
50,6537: 
1,6538: 
709,6543: 
3,6561: 
4,6571: 
12,6597: 
3,6665: 
2,6666: 
5,6705: 
1,6835: 
1,6889: 
222,6939: 
369,6949: 
287,6959: 
4,6991: 
,8032: 
,8062: 
,8808: 
,8812: 
,8816: 
,8829: 
,8858: 
1343,8880: 
