piece,set_ID
109,1100: 
42,1195: 
,1201: 
,1202: 
56,1237: 
,1238: 
,1239: 
211,1351: 
233,1352: 
166,1353: 
94,1354: 
58,1355: 
29,1356: 
21,1357: 
22,1360: 
20,1361: 
24,1362: 
25,1363: 
157,1370: 
155,1371: 
,1388: 
,1389: 
,1390: 
,1391: 
,1392: 
8,1393: 
1,1403: 
1,1404: 
1,1405: 
5,1406: 
6,1407: 
1,1408: 
31,1411: 
29,1413: 
21,1414: 
24,1415: 
30,1416: 
28,1417: 
26,1418: 
27,1419: 
29,1420: 
22,1421: 
20,1422: 
24,1423: 
25,1424: 
,1452: 
,1453: 
,1454: 
,1456: 
,1457: 
,1528: 
,1529: 
,1530: 
,1532: 
,1533: 
,1534: 
,1535: 
,1537: 
,1538: 
,1539: 
,1701: 
,1702: 
,1703: 
,1704: 
,1705: 
,1706: 
,1708: 
,2032: 
142,2718: 
100,2863: 
,2878: 
,2878: 
,2878: 
,2878: 
,2927: 
14,2946: 
13,2947: 
21,2949: 
4,2951: 
6,2952: 
2,2953: 
,2954: 
32,2955: 
20,2961: 
5,2971: 
,2973: 
1,2974: 
11,2975: 
11,2976: 
9,2977: 
13,2979: 
11,2991: 
25,2993: 
9,3083: 
46,3085: 
7,3087: 
19,3088: 
29,3089: 
24,3090: 
1,3091: 
10,3092: 
24,3093: 
32,3095: 
20,3121: 
17,3122: 
58,3123: 
95,3124: 
40,3126: 
1,3160: 
,3161: 
1,3162: 
,3169: 
,3170: 
,3172: 
,3173: 
15,3197: 
,3212: 
,3235: 
,3236: 
,3237: 
,3238: 
10,3263: 
9,3264: 
,3265: 
58,3266: 
25,3267: 
10,3271: 
21,3272: 
18,3273: 
35,3274: 
51,3275: 
52,3276: 
,3415: 
62,3416: 
24,3418: 
24,3419: 
574,3451: 
25,3507: 
,3508: 
1530,3724: 
67,3740: 
92,3741: 
39,3742: 
106,3743: 
106,3744: 
106,3745: 
106,3746: 
106,3747: 
4,3748: 
48,3750: 
100,3751: 
50,3752: 
100,3753: 
50,3754: 
,3755: 
,3756: 
321,3800: 
717,3804: 
,3805: 
,3901: 
,3917: 
,3924: 
,3925: 
,3948: 
,3974: 
21,4016: 
13,4017: 
12,4018: 
17,4019: 
28,4049: 
1,4051: 
4,4052: 
5,4053: 
13,4056: 
10,4057: 
4,4058: 
4,4059: 
4,4060: 
4,4061: 
4,4062: 
4,4063: 
4,4064: 
4,4065: 
4,4066: 
15,4067: 
6,4068: 
4,4069: 
7,4070: 
8,4071: 
6,4072: 
6,4073: 
14,4074: 
13,4075: 
17,4076: 
13,4077: 
18,4078: 
4,4079: 
,4112: 
124,4113: 
165,4115: 
209,4116: 
257,4117: 
361,4118: 
234,4119: 
606,4120: 
171,4121: 
231,4124: 
53,4171: 
43,4172: 
58,4173: 
172,4174: 
217,4175: 
323,4176: 
373,4177: 
,4250: 
,4383: 
,4392: 
Yes,4566: 
Yes,4567: 
Yes,4568: 
Yes,4569: 
Yes,4570: 
Yes,4571: 
Yes,4572: 
Yes,4573: 
,4574: 
,4575: 
,4576: 
,4577: 
,4578: 
114,4579: 
22,4600: 
21,4601: 
29,4603: 
14,4604: 
28,4605: 
38,4606: 
64,4607: 
65,4608: 
90,4609: 
88,4610: 
132,4611: 
48,4701: 
60,4702: 
175,4704: 
163,4705: 
238,4706: 
299,4707: 
410,4708: 
682,4709: 
73,4721: 
68,4722: 
80,4723: 
254,4810: 
44,4827: 
51,4830: 
50,4836: 
41,5223: 
60,5322: 
60,5327: 
43,5336: 
42,5339: 
34,5342: 
295,5599: 
,5730: 
,5774: 
,5775: 
,5777: 
,5778: 
,5779: 
,5780: 
,5781: 
,5782: 
,5787: 
15,5831: 
14,5832: 
40,5833: 
103,5834: 
37,5950: 
23,5951: 
31,5952: 
20,5953: 
17,5977: 
698,6290: 
280,6291: 
419,6292: 
470,6472: 
25,6719: 
23,6720: 
26,6721: 
19,6722: 
29,6771: 
57,6772: 
79,6773: 
134,6774: 
190,6775: 
422,6776: 
37,7000: 
23,7001: 
31,7002: 
20,7003: 
45,7106: 
133,7126: 
107,7127: 
171,7146: 
238,7166: 
443,7186: 
21,7300: 
28,7301: 
30,7302: 
24,7303: 
21,7308: 
28,7309: 
33,7310: 
73,7311: 
99,7312: 
194,7313: 
194,7314: 
242,7315: 
471,7316: 
706,7317: 
5,7320: 
5,7321: 
5,7322: 
5,7323: 
,7399: 
,7400: 
78,7951: 
106,7969: 
341,8007: 
361,8008: 
152,8240: 
115,8241: 
253,8242: 
235,8463: 
591,8464: 
365,8465: 
1102,8466: 
6,8525: 
6,8530: 
49,8531: 
30,8532: 
35,8533: 
33,8534: 
36,8535: 
33,8536: 
146,8537: 
633,8538: 
442,8539: 
28,8540: 
26,8541: 
30,8542: 
27,8543: 
29,8544: 
28,8545: 
,8546: 
226,8548: 
411,8549: 
24,9126: 
63,9127: 
1670,9302: 
1180,9303: 
,9783: 
,9784: 
156,9795: 
253,10000: 
782,10001: 
293,10002: 
,10003: 
,10004: 
,10005: 
,10006: 
,10007: 
,10008: 
62,10009: 
62,10010: 
42,10011: 
42,10012: 
121,10013: 
170,10014: 
194,10015: 
128,10016: 
228,10017: 
1868,10018: 
1747,10019: 
10,10111: 
25,10112: 
,10113: 
More,10114: 
80,10115: 
,16073: 
,18636: 
,78777: 
,78800: 
,78880: 
,922213: 
,4151847: 
,4151848: 
,4151849: 
,
,
,
