piece,set_ID
2262,10246: 
2464,10247: 
1158,10248: 
898,10249: 
13,10581: 
39,10582: 
32,10583: 
105,10584: 
13,10585: 
11,10586: 
52,10587: 
13,10589: 
29,10590: 
19,10591: 
26,10592: 
105,10593: 
38,10594: 
87,10595: 
63,10596: 
24,10597: 
47,10599: 
29,10600: 
19,10601: 
38,10602: 
17,10603: 
25,10604: 
16,10605: 
39,10606: 
13,10607: 
28,10608: 
12,10615: 
25,10616: 
26,10617: 
70,10618: 
193,10622: 
More,10623: 
74,10677: 
57,10679: 
99,10680: 
132,10683: 
134,10684: 
113,10685: 
226,10686: 
137,10687: 
221,10692: 
303,10693: 
303,10694: 
580,10695: 
484,10696: 
1500,10697: 
790,10698: 
1,10699: 
1,10700: 
1,10701: 
1,11908: 
1,11909: 
,11910: 
274,21022: 
471,21023: 
695,21024: 
219,21119: 
327,21120: 
519,21121: 
571,21122: 
580,21301: 
484,21302: 
677,21303: 
623,21304: 
37,30202: 
26,30203: 
44,30204: 
33,30205: 
4,30217: 
,30217: 
,30217: 
,30217: 
,30217: 
6,30218: 
39,30256: 
27,30259: 
58,30272: 
65,30274: 
47,30275: 
41,30276: 
43,30283: 
51,30284: 
73,30285: 
65,30286: 
43,30291: 
54,30292: 
43,30293: 
45,30294: 
47,30303: 
56,30304: 
38,30305: 
51,30311: 
40,30312: 
48,30313: 
45,30314: 
37,30315: 
Yes,30320: 
67,31027: 
53,31028: 
132,31029: 
106,31030: 
215,31031: 
221,31032: 
264,31033: 
237,31034: 
286,31035: 
466,31036: 
282,31037: 
536,31038: 
608,31039: 
114,40120: 
153,40121: 
133,40122: 
158,40123: 
107,40124: 
167,40125: 
55,40126: 
39,40127: 
50,40128: 
39,40129: 
65,40130: 
55,40131: 
31,40132: 
49,40133: 
45,40134: 
29,40135: 
31,40136: 
28,40137: 
233,40138: 
277,40139: 
71,40140: 
204,40141: 
180,40142: 
234,40143: 
165,40144: 
413,40145: 
67,40146: 
99,40148: 
120,40153: 
174,40154: 
148,40155: 
171,40156: 
857,40158: 
96,41060: 
143,41061: 
292,41062: 
379,41063: 
98,41071: 
249,41072: 
312,41073: 
324,41074: 
505,41075: 
175,41076: 
