piece,set_ID
,2009: 
,3592: 
14,3594: 
28,3595: 
39,3596: 
51,3597: 
209,3833: 
425,3834: 
118,3835: 
108,3836: 
141,3837: 
131,3838: 
166,3839: 
268,3840: 
211,3841: 
271,3842: 
217,3843: 
338,3844: 
28,4899: 
90,5486: 
700,5487: 
102,5488: 
675,5489: 
76,5538: 
480,5539: 
19,5545: 
22,5546: 
34,5547: 
402,5560: 
50,5586: 
390,5587: 
201,5588: 
1600,5589: 
8,5592: 
28,5594: 
59,5595: 
4,5632: 
32,5633: 
53,5634: 
125,5635: 
14,5636: 
12,5637: 
9,5638: 
71,5639: 
24,5640: 
51,5641: 
27,5642: 
42,5969: 
80,5970: 
205,5971: 
282,5972: 
456,5973: 
825,5974: 
330,5979: 
389,5980: 
117,6191: 
150,6192: 
137,6193: 
516,6194: 
45,6239: 
78,6240: 
142,6241: 
367,6242: 
592,6243: 
310,6253: 
148,6299: 
63,6741: 
64,6742: 
165,6743: 
247,6745: 
266,6747: 
479,6751: 
771,6752: 
1294,6753: 
976,6754: 
103,7078: 
335,7079: 
844,7097: 
79,7195: 
187,7196: 
420,7197: 
384,7198: 
652,7199: 
,7614: 
465,7615: 
427,7616: 
,7618: 
108,7630: 
189,7631: 
481,7632: 
898,7633: 
78,7634: 
176,7635: 
360,7636: 
609,7637: 
129,7638: 
165,7639: 
483,7641: 
953,7642: 
115,7643: 
244,7682: 
376,7683: 
352,7685: 
377,7686: 
257,7687: 
208,7746: 
444,7747: 
216,7748: 
155,7749: 
291,7751: 
385,7752: 
372,7753: 
789,7754: 
356,7778: 
28,7800: 
42,7801: 
29,7802: 
38,7803: 
33,7804: 
44,7805: 
,7806: 
,7807: 
34,7808: 
72,8014: 
94,8015: 
232,8016: 
251,8017: 
407,8018: 
636,8019: 
44,8033: 
259,8036: 
570,8037: 
890,8038: 
1170,8039: 
1100,8063: 
48,8119: 
47,8120: 
48,8121: 
41,8122: 
139,8123: 
170,8124: 
160,8125: 
144,8126: 
104,8162: 
110,8163: 
87,8164: 
91,8165: 
203,8166: 
209,8167: 
202,8168: 
741,8169: 
388,8182: 
92,8183: 
239,8184: 
534,8185: 
757,8186: 
144,8256: 
1877,8258: 
165,8259: 
104,8260: 
198,8261: 
308,8262: 
590,8263: 
575,8264: 
1061,8265: 
17,8396: 
16,8397: 
22,8398: 
22,8399: 
14,8400: 
60,8401: 
68,8402: 
619,8547: 
293,8707: 
259,8708: 
637,8709: 
7,8866: 
64,8867: 
1,8869: 
1,8870: 
1,8871: 
1,8878: 
1,8879: 
More,8887: 
28,8907: 
13,8908: 
31,8956: 
67,8957: 
94,8958: 
197,8959: 
235,8960: 
474,8961: 
168,8962: 
225,8963: 
706,8964: 
68,8967: 
203,8968: 
320,8969: 
414,8970: 
733,8971: 
13,8972: 
14,8973: 
17,8974: 
15,8975: 
14,8976: 
16,8977: 
50,8978: 
59,8979: 
55,8980: 
57,8981: 
46,8982: 
51,8983: 
55,8984: 
55,8985: 
52,8986: 
43,8987: 
52,8988: 
52,8989: 
148,8990: 
188,8991: 
151,8992: 
251,8993: 
263,8994: 
438,8995: 
849,8996: 
366,8998: 
132,9077: 
109,9078: 
15,9079: 
158,9580: 
1,9581: 
1,9583: 
,9584: 
396,9686: 
172,9690: 
,9698: 
,9749: 
7,9999: 
1601,10193: 
1085,10194: 
1758,10195: 
3263,10196: 
2231,10197: 
1408,10198: 
815,10199: 
More,10287: 
84,20007: 
79,20008: 
94,20009: 
99,20010: 
74,20011: 
33,20012: 
77,21002: 
57,21003: 
208,21004: 
811,21005: 
32,30000: 
38,30001: 
30,30002: 
31,30003: 
28,30004: 
30,30005: 
30,30006: 
44,30008: 
47,30009: 
152,40000: 
42,40001: 
61,40002: 
44,40003: 
,66283: 
,66284: 
,66305: 
,66307: 
,66308: 
,66309: 
,66318: 
,66319: 
,66320: 
,66321: 
,66325: 
,66326: 
,66329: 
,66331: 
,66333: 
,66334: 
,66335: 
,66340: 
,66385: 
,852227: 
,852243: 
,852490: 
,852492: 
,852494: 
,852495: 
,852496: 
,852497: 
,852498: 
,852499: 
,852504: 
,852505: 
,852506: 
,852512: 
,852513: 
,852516: 
,852517: 
,852520: 
,852521: 
,852522: 
,852524: 
,852525: 
,852527: 
,852528: 
,852529: 
,852530: 
,852534: 
24,852535: 
,852543: 
,852544: 
,852545: 
,852547: 
,852548: 
,852549: 
,852550: 
,852551: 
,852552: 
,852553: 
,852555: 
,852673: 
,852676: 
,852678: 
,852683: 
,852685: 
,852688: 
,852689: 
,852690: 
,852695: 
,852696: 
22,852697: 
36,852701: 
45,852702: 
,852703: 
,852704: 
,852706: 
,852708: 
,852709: 
,852711: 
,852713: 
,852714: 
,852715: 
,852716: 
,852717: 
,852718: 
,852719: 
,852733: 
,852735: 
,852736: 
,852737: 
,852741: 
,852742: 
,852744: 
,852745: 
37,852747: 
,852748: 
,852749: 
,852750: 
,852751: 
41,852753: 
,852754: 
,852759: 
,852760: 
,852761: 
,852762: 
,852763: 
,852764: 
,852765: 
,2851070: 
,2851126: 
,2851134: 
,2851135: 
,2851185: 
,2851190: 
,2851191: 
,2851192: 
,2851193: 
,2851194: 
,2851195: 
