piece,set_ID
More,630: 
,2011: 
31,2063: 
30,2065: 
31,2067: 
31,2068: 
19,2111: 
19,2112: 
19,2113: 
20,2114: 
21,2115: 
22,2116: 
30,2141: 
29,2142: 
30,2143: 
29,2144: 
31,2145: 
21,2170: 
22,2171: 
21,2172: 
26,2173: 
24,2174: 
23,2175: 
30,2182: 
30,2183: 
28,2191: 
61,2192: 
63,2193: 
57,2194: 
48,2231: 
52,2232: 
55,2233: 
125,2235: 
104,2236: 
169,2254: 
20,2255: 
23,2256: 
57,2257: 
71,2258: 
157,2259: 
158,2260: 
298,2263: 
174,2282: 
331,2283: 
373,2504: 
518,2505: 
515,2506: 
1180,2507: 
189,2508: 
225,2509: 
45,2516: 
174,2518: 
371,2519: 
463,2520: 
645,2521: 
37,3365: 
165,3366: 
231,3367: 
494,3368: 
173,3648: 
237,3658: 
405,3661: 
831,3677: 
95,3815: 
169,3816: 
80,3852: 
49,3853: 
107,3854: 
99,3855: 
245,3856: 
101,3857: 
225,3858: 
217,3859: 
304,3860: 
216,3861: 
152,4181: 
279,4182: 
365,4183: 
804,4184: 
95,4191: 
125,4192: 
462,4193: 
745,4194: 
1094,4195: 
34,4641: 
64,4642: 
254,4643: 
294,4644: 
551,4645: 
64,4865: 
257,4866: 
466,4867: 
4,5678: 
8,5679: 
14,5680: 
60,5681: 
21,5682: 
24,5683: 
15,5684: 
4,5685: 
56,5695: 
14,5696: 
86,5748: 
650,5749: 
56,5761: 
52,5762: 
137,5763: 
149,5764: 
276,5765: 
355,5766: 
621,5767: 
518,5770: 
714,5771: 
10,5793: 
18,5794: 
111,5795: 
11,5817: 
22,5818: 
45,5819: 
67,5828: 
52,5829: 
35,5839: 
144,5929: 
121,5930: 
30,5931: 
231,5932: 
310,5933: 
13,5945: 
26,5946: 
40,5947: 
62,6051: 
90,6052: 
704,6053: 
100,6130: 
645,6131: 
60,6136: 
38,6137: 
60,6138: 
104,6918: 
42,7049: 
105,7050: 
165,7051: 
211,7052: 
416,7065: 
875,7066: 
375,7067: 
185,7187: 
286,7188: 
663,7189: 
57,7279: 
96,7285: 
173,7286: 
172,7287: 
408,7288: 
44,7305: 
70,7306: 
125,7307: 
213,7325: 
527,7326: 
792,7327: 
783,7498: 
24,7499: 
232,7553: 
108,7696: 
313,7868: 
331,7869: 
318,7877: 
773,7879: 
85,7913: 
68,7914: 
139,7915: 
241,7929: 
389,7930: 
4,7931: 
166,7956: 
213,7957: 
266,7958: 
155,7959: 
479,7961: 
810,7962: 
1015,7964: 
1254,7965: 
54,7976: 
105,7977: 
200,7978: 
265,7984: 
686,7985: 
119,8065: 
141,8066: 
292,8067: 
408,8068: 
609,8069: 
1281,8070: 
593,8071: 
590,8081: 
1115,8109: 
2048,8110: 
35,8200: 
52,8201: 
147,8206: 
97,8221: 
94,8227: 
82,8228: 
96,8231: 
45,8301: 
48,8302: 
51,8303: 
44,8304: 
136,8423: 
114,8424: 
159,8426: 
242,8484: 
374,8486: 
517,8487: 
339,8638: 
743,8639: 
288,8677: 
196,8678: 
842,8679: 
,8803: 
1,8803: 
1,8803: 
1,8803: 
1,8803: 
1,8803: 
1,8803: 
1,8803: 
1,8803: 
1,8803: 
1,8803: 
1,8803: 
1,8803: 
1,8803: 
1,8803: 
1,8803: 
1,8803: 
16,8803: 
,8803: 
,8804: 
1,8804: 
1,8804: 
1,8804: 
1,8804: 
1,8804: 
1,8804: 
1,8804: 
1,8804: 
1,8804: 
1,8804: 
1,8804: 
1,8804: 
1,8804: 
1,8804: 
1,8804: 
1,8804: 
16,8804: 
,8804: 
,8805: 
1,8805: 
1,8805: 
1,8805: 
1,8805: 
1,8805: 
1,8805: 
1,8805: 
1,8805: 
1,8805: 
1,8805: 
1,8805: 
1,8805: 
1,8805: 
1,8805: 
1,8805: 
1,8805: 
16,8805: 
,8805: 
906,9337: 
57,9338: 
256,9348: 
227,9349: 
286,9387: 
1365,9594: 
,9697: 
2025,10217: 
2032,10218: 
1237,10219: 
1332,10220: 
3152,10221: 
822,10222: 
1230,10231: 
More,10285: 
More,10286: 
76,20019: 
83,20020: 
81,20021: 
178,20200: 
222,20201: 
155,20202: 
150,20203: 
More,21000: 
240,21007: 
208,21008: 
546,21009: 
2276,21010: 
363,21011: 
146,21200: 
32,30014: 
24,30015: 
35,30016: 
,30022: 
25,30023: 
59,30024: 
59,30025: 
62,30026: 
66,30027: 
50,30028: 
95,30029: 
26,30036: 
61,30051: 
46,30052: 
41,30053: 
46,30054: 
45,30055: 
26,30080: 
41,30081: 
32,30082: 
31,30083: 
5,30084: 
33,30090: 
34,30091: 
22,30110: 
34,30111: 
32,30120: 
54,30121: 
50,30130: 
22,30131: 
4,30132: 
5,30133: 
34,30140: 
19,30141: 
51,40015: 
41,40016: 
86,40017: 
95,40018: 
59,40019: 
71,40020: 
54,40021: 
72,40022: 
76,40023: 
77,40024: 
,40027: 
64,40028: 
,66375: 
Yes,66377: 
,66378: 
,66379: 
,66380: 
,66383: 
,66386: 
,66387: 
,66388: 
,66389: 
,66393: 
,66394: 
,66395: 
,66396: 
,66397: 
,66404: 
Yes,66405: 
,66406: 
,66407: 
,66414: 
1,88000: 
7,88002: 
,850801: 
,850802: 
,853083: 
,853084: 
,853085: 
,853086: 
,853087: 
,853088: 
,853089: 
,853091: 
,853092: 
,853096: 
,853097: 
,853098: 
,853099: 
,853100: 
,853101: 
,853102: 
,853105: 
,853106: 
,853108: 
26,853111: 
,853112: 
,853114: 
,853116: 
,853118: 
,853125: 
,853126: 
,853127: 
,853129: 
,853130: 
,853131: 
,853132: 
,853136: 
,853143: 
,853144: 
,853146: 
,853147: 
,853148: 
,853165: 
,853166: 
,853167: 
,853168: 
,853175: 
29,853176: 
,853187: 
,853188: 
,853189: 
,853191: 
120,853195: 
,853200: 
,853201: 
,853209: 
,853210: 
,853211: 
,853216: 
30,853219: 
,853240: 
,853261: 
,853274: 
,853275: 
31,853301: 
,853305: 
,853306: 
,853307: 
,853309: 
,853313: 
,853317: 
24,853340: 
30,853344: 
40,853345: 
36,853346: 
,853352: 
,853353: 
,853355: 
,853356: 
,853357 : 
,853358: 
,853405: 
,853406: 
,2850828: 
,2850829: 
,2850855: 
,2850856: 
,2850857: 
,2850868: 
More,2852724: 
More,2852725: 
More,2852726: 
,2853101: 
,2853124: 
More,2853216: 
,2853662: 
,2855057: 
,2856028: 
More,2856079: 
,2856128: 
,2856129: 
,2856130: 
More,2856134: 
1,2856197: 
,2856200: 
,2856203: 
,2856205: 
,2856206: 
,2856217: 
,2856218: 
,2856219: 
,2856220: 
,2856221: 
,2856222: 
,2856223: 
,2856224: 
,2856225: 
,2856226: 
,2856239: 
,2856241: 
,2856243: 
,2856252: 
,2856451: 
,2856453: 
,2856454: 
,2856456: 
,2856457: 
,2856458: 
,2856745: 
197,3300001: 
117,3300002: 
56,3300005: 
117,3300006: 
98,3300020: 
795,4000001: 
174,4000002: 
,4636204: 
,4648939: 
,4659758: 
,5000135: 
,5000141: 
,5000142: 
,5000143: 
,5000144: 
,5000206: 
,5000207: 
,5000208: 
,5000209: 
,5000210: 
,5000211: 
,5000212: 
,5000216: 
,9002014: 
,9002731: 
,9002748: 
,9003073: 
,9003400: 
3,
1,
1,
,
1,
1,
1,
,
,
,
,
3,
1,
,
,
1,
,
,
,
,
3,
,
3,
,
,
,
,
,
,
,
,
,
,
,
3,
,
,
,
,
,
,
,
,
,
,
,
,
,
3,
,
3,
,
,
3,
3,
,
,
