piece,set_ID
,1: 
,2: 
,3: 
,4: 
,5: 
,6: 
,7: 
,8: 
,010: 
,11: 
,12: 
,13: 
,14: 
,15: 
,16: 
,17: 
,020: 
,030: 
,30: 
,31: 
,32: 
,105: 
,115: 
,135: 
,221: 
,270: 
,271: 
,272: 
,273: 
,290: 
,291: 
,292: 
,293: 
,310: 
,311: 
,312: 
,356: 
,357: 
,358: 
,381: 
,382: 
,383: 
,384: 
,410: 
,420: 
,450: 
,460: 
,508: 
,515: 
,540: 
,545: 
,560: 
,570: 
,610: 
,611: 
,653: 
,654: 
,655: 
,686: 
,687: 
,688: 
,710: 
,730: 
2,900: 
,930: 
,931: 
,932: 
,933: 
,934: 
,935: 
,936: 
,937: 
,938: 
,939: 
,940: 
,
