piece,set_ID
222,3061: 
195,3063: 
191,3065: 
130,3183: 
309,3184: 
1112,3185: 
218,3186: 
221,3187: 
343,3188: 
401,3189: 
695,3315: 
193,3316: 
241,3817: 
471,3818: 
115,3863: 
165,3864: 
247,3865: 
305,3866: 
,3867: 
,3868: 
240,3874: 
394,3920: 
45,3930: 
43,3931: 
87,3932: 
81,3933: 
64,3934: 
73,3935: 
79,3936: 
65,3937: 
62,3938: 
85,3939: 
183,3942: 
102,4200: 
139,4201: 
269,4202: 
305,4203: 
748,4204: 
403,4205: 
297,4206: 
933,4207: 
243,4208: 
522,4209: 
50,4427: 
248,4428: 
425,4429: 
522,4430: 
199,4431: 
208,4432: 
201,4433: 
222,4434: 
218,4435: 
97,4436: 
129,4437: 
317,4438: 
393,4439: 
633,4440: 
313,4441: 
101,4442: 
112,4473: 
40,4526: 
57,4527: 
38,4528: 
44,4529: 
39,4530: 
44,4597: 
30,4623: 
31,4624: 
224,4625: 
232,4626: 
85,4627: 
600,4628: 
150,4629: 
1000,4630: 
59,4631: 
3,4632: 
525,4635: 
130,4636: 
152,4637: 
80,5882: 
136,5883: 
259,5884: 
271,5885: 
480,5886: 
793,5887: 
222,5888: 
13,6132: 
26,6133: 
34,6134: 
62,6141: 
34,6143: 
12,6144: 
17,6146: 
16,6151: 
28,6152: 
20,6153: 
77,6154: 
67,6156: 
147,6157: 
62,6158: 
63,6168: 
6,6169: 
45,6171: 
8,6172: 
8,6173: 
36,6200: 
42,6201: 
55,6202: 
124,6203: 
45,6216: 
39,6217: 
50,6218: 
39,6221: 
51,6222: 
61,6223: 
55,6227: 
44,6228: 
39,6229: 
89,6230: 
192,6231: 
42,6282: 
61,6283: 
56,6293: 
17,6758: 
15,6759: 
12,6760: 
23,6784: 
55,6785: 
380,6857: 
89,6858: 
690,6860: 
207,6862: 
278,6863: 
531,6864: 
72,6865: 
199,6866: 
181,6867: 
389,6868: 
735,6869: 
295,6873: 
70,6910: 
69,6911: 
130,6912: 
152,6913: 
191,6914: 
196,7291: 
241,7292: 
383,7345: 
415,7346: 
805,7347: 
,8827: 
1,8827: 
1,8827: 
1,8827: 
1,8827: 
1,8827: 
1,8827: 
1,8827: 
1,8827: 
1,8827: 
1,8827: 
1,8827: 
1,8827: 
1,8827: 
1,8827: 
1,8827: 
1,8827: 
16,8827: 
,8827: 
,8831: 
1,8831: 
1,8831: 
1,8831: 
1,8831: 
1,8831: 
1,8831: 
1,8831: 
1,8831: 
1,8831: 
1,8831: 
1,8831: 
1,8831: 
1,8831: 
1,8831: 
1,8831: 
1,8831: 
16,8831: 
,8831: 
,8833: 
1,8833: 
1,8833: 
1,8833: 
1,8833: 
1,8833: 
1,8833: 
1,8833: 
1,8833: 
1,8833: 
1,8833: 
1,8833: 
1,8833: 
1,8833: 
1,8833: 
1,8833: 
1,8833: 
16,8833: 
,8833: 
,8909: 
1,8909: 
1,8909: 
1,8909: 
1,8909: 
1,8909: 
1,8909: 
1,8909: 
1,8909: 
1,8909: 
9,8909: 
,8909: 
86,9092: 
87,9093: 
88,9094: 
87,9095: 
130,9209: 
98,9218: 
22,9388: 
1907,9389: 
136,9390: 
218,9391: 
199,9392: 
353,9393: 
499,9394: 
954,9395: 
1056,9396: 
1308,9397: 
1327,9398: 
86,9440: 
188,9441: 
242,9442: 
327,9443: 
286,9444: 
452,9445: 
680,9446: 
250,9447: 
452,9448: 
622,9449: 
915,9450: 
255,9455: 
418,9456: 
415,9457: 
70,9461: 
90,9462: 
243,9463: 
314,9464: 
447,9465: 
430,9466: 
741,9467: 
949,9468: 
83,9469: 
227,9470: 
257,9471: 
430,9472: 
776,9473: 
1368,9474: 
366,9476: 
49,9478: 
52,9479: 
52,9480: 
54,9481: 
144,9483: 
199,9484: 
280,9485: 
422,9486: 
98,9488: 
77,9489: 
137,9490: 
132,9491: 
413,9492: 
560,9493: 
300,9494: 
458,9495: 
213,9496: 
376,9497: 
244,9498: 
465,9499: 
741,9500: 
234,9509: 
1092,9515: 
717,9516: 
403,9525: 
645,9526: 
28,9551: 
21,9552: 
28,9553: 
37,9554: 
32,9555: 
25,9556: 
17,9557: 
219,9558: 
21,9561: 
21,9562: 
22,9563: 
20,9564: 
23,9566: 
