piece,set_ID
,22: 
,23: 
,1270: 
Yes,1660: 
1,1714: 
,1715: 
199,1719: 
,1734: 
1,1736: 
400,1743: 
1,1744: 
,1745: 
1,1746: 
,1756: 
,1758: 
7,1759: 
21,1760: 
1,1761: 
1,1762: 
,1764: 
,1765: 
,1766: 
,1767: 
,1768: 
,1785: 
4,1786: 
2,1787: 
4,1788: 
2,1789: 
3,1793: 
,1805: 
17,1807: 
27,1811: 
1,1814: 
,1819: 
,1820: 
192,1822: 
,1828: 
211,1831: 
9,1836: 
11,1837: 
16,1838: 
19,1839: 
,1840: 
3,1844: 
,1850: 
,1852: 
1,1860: 
,1863: 
,1870: 
1,1954: 
,2080: 
1,2082: 
1,2084: 
2,2086: 
1,2090: 
,2320: 
48,2324: 
,2326: 
,2338: 
,2342: 
2,2362: 
2,2364: 
71,2368: 
,2659: 
1,2663: 
2,2665: 
2,2667: 
42,2670: 
6,2690: 
12,2691: 
2,2692: 
3,2693: 
1,2783: 
1,2785: 
3,2796: 
1,2915: 
1,2925: 
47,2945: 
42,2960: 
,4130: 
71,4131: 
,4132: 
135,4133: 
,4134: 
98,4142: 
,4143: 
141,4144: 
,4145: 
,4146: 
1,4150: 
,4151: 
400,4152: 
687,4153: 
2,4161: 
592,4162: 
349,4163: 
282,4552: 
389,4555: 
4,5088: 
31,5125: 
,5126: 
,5127: 
32,5132: 
28,5134: 
,5135: 
10,5136: 
,5160: 
8,5268: 
,5269: 
,5287: 
12,5288: 
,5541: 
1,5810: 
2,5830: 
87,5840: 
1,6008: 
2,6036: 
4,6044: 
5,6078: 
11,6090: 
28,6115: 
32,6125: 
1,6155: 
167,6175: 
508,6195: 
3,6254: 
216,6263: 
378,6279: 
185,6336: 
3,6338: 
4,6339: 
4,6414: 
3,6484: 
34,6516: 
50,6525: 
42,6535: 
342,6544: 
221,6562: 
134,6596: 
122,6614: 
1,6639: 
63,6649: 
86,8210: 
1,8225: 
165,8235: 
424,8280: 
286,8412: 
315,8422: 
414,8440: 
850,8460: 
1079,8485: 
18,9170: 
24,9171: 
,9605: 
1733,9609: 
27,9652: 
2,9653: 
107,9660: 
557,9701: 
,9751: 
,9891: 
36,9938: 
