piece,set_ID
116,2064: 
19,3288: 
37,3289: 
8,3352: 
45,3353: 
13,3354: 
6,3573: 
29,3870: 
21,3871: 
29,3872: 
22,3885: 
19,3886: 
8,4825: 
19,4826: 
49,4828: 
27,4861: 
68,4915: 
77,4916: 
77,4917: 
76,4918: 
14,4933: 
20,4934: 
18,4936: 
38,4937: 
28,4938: 
206,4939: 
312,4953: 
1174,4954: 
550,4955: 
731,4956: 
1063,4957: 
792,4958: 
13,4972: 
11,4973: 
36,4974: 
42,4975: 
11,4976: 
26,4977: 
11,4978: 
6,4979: 
337,4981: 
393,4982: 
19,4986: 
40,4987: 
84,4988: 
31,4991: 
27,4992: 
943,5378: 
1,5380: 
33,5416: 
95,5417: 
107,5419: 
,5491: 
705,5493: 
42,5514: 
240,5515: 
215,5516: 
74,5518: 
481,5519: 
80,5527: 
700,5528: 
105,5536: 
683,5537: 
,6112: 
,6114: 
600,6116: 
221,6161: 
286,6162: 
598,6163: 
520,6164: 
405,6166: 
701,6167: 
20,6944: 
25,6945: 
22,6946: 
62,7009: 
628,7029: 
575,7036: 
54,7090: 
123,7091: 
193,7092: 
398,7093: 
973,7094: 
8,7172: 
10,7173: 
10,7174: 
10,7175: 
21,7176: 
8,7177: 
5,7178: 
34,7452: 
26,7453: 
26,7580: 
86,7581: 
167,7582: 
215,7600: 
102,7654: 
58,7655: 
232,7656: 
244,7657: 
454,7658: 
471,7659: 
280,7660: 
575,7661: 
1330,7662: 
310,7663: 
548,7664: 
919,7665: 
548,7666: 
760,7690: 
434,7691: 
435,7692: 
246,7693: 
95,7694: 
57,7695: 
374,7697: 
635,7699: 
267,7714: 
581,7721: 
75,7770: 
130,7771: 
223,7772: 
339,7773: 
590,7774: 
840,7775: 
241,7776: 
293,7786: 
645,7787: 
31,7871: 
57,7872: 
38,7873: 
39,7875: 
44,7876: 
187,7906: 
232,7907: 
131,7942: 
274,7944: 
600,7945: 
213,7990: 
206,7991: 
218,7992: 
402,7993: 
659,7994: 
4,7996: 
387,7997: 
332,7998: 
92,8100: 
99,8101: 
162,8102: 
144,8103: 
161,8104: 
141,8105: 
312,8106: 
571,8107: 
1009,8108: 
44,8130: 
51,8131: 
41,8132: 
51,8133: 
265,8134: 
542,8135: 
65,8136: 
70,8137: 
85,8138: 
66,8139: 
182,8140: 
201,8141: 
167,8142: 
690,8143: 
8,8144: 
8,8144: 
1327,8145: 
598,8146: 
796,8147: 
106,8270: 
200,8271: 
331,8272: 
805,8273: 
1025,8274: 
1384,8275: 
74,8910: 
68,8911: 
62,8912: 
59,8913: 
59,8914: 
63,8915: 
62,8916: 
53,8917: 
50,8918: 
58,8919: 
54,8920: 
47,8921: 
176,8922: 
165,8923: 
256,8924: 
228,8925: 
401,8926: 
674,8927: 
37,8929: 
37,8930: 
39,8931: 
40,8932: 
7,8934: 
116,8935: 
149,8939: 
373,8940: 
,9001: 
144,9027: 
95,9213: 
121,9214: 
16,9222: 
120,9225: 
97,9226: 
106,9227: 
51,9228: 
82,9229: 
360,9241: 
,9310: 
1860,9322: 
1641,9324: 
352,9632: 
,9764: 
431,9797: 
1137,10178: 
5197,10179: 
3428,10181: 
2056,10182: 
1080,10183: 
1248,10190: 
,60030: 
,60031: 
,60040: 
,66149: 
More,66175: 
,66177: 
,66187: 
,66188: 
,66189: 
,66193: 
,66194: 
,66195: 
,66198: 
,66201: 
,66202: 
More,66208: 
,66217: 
,66231: 
,66232: 
,66234: 
,66235: 
Yes,66239: 
,66265: 
,66332: 
,850152: 
,850154: 
,850355: 
,850355: 
,851197: 
,851462: 
,851463: 
,851464: 
,851501: 
,851502: 
,851524: 
,851537: 
,851591: 
,851617: 
,851624: 
,851625: 
,851627: 
,851641: 
,851648: 
,851652: 
,851680: 
,851686: 
,851687: 
,851689: 
,851757: 
,851814: 
,851815: 
,851821: 
,851831: 
,851836: 
,851838: 
,851839: 
,851841: 
,851846: 
,851848: 
,851853: 
,851854: 
,851855: 
,851868: 
,851873: 
,851875: 
,851876: 
,851877: 
,851878: 
,851893: 
,851894: 
,851895: 
,851896: 
,851897: 
,851898: 
,851899: 
,851901: 
,851902: 
,851903: 
,851904: 
,851905: 
,851906: 
,851908: 
,851910: 
,851911: 
,851915: 
,851917: 
,851918: 
,851931: 
,851933: 
,851935: 
,851936: 
,851937: 
,851938: 
,851939: 
,851941: 
,851942: 
,851949: 
,851950: 
,851951: 
,851954: 
,851955: 
,851958: 
,851960: 
,851970: 
,851973: 
,851974: 
,851975: 
,851976: 
,851988: 
,851994: 
,851999: 
,852000: 
,852001: 
,852003: 
,852004: 
,852005: 
,852007: 
,852008: 
,852009: 
,852011: 
,852012: 
,852015: 
,852017: 
,852018: 
,852019: 
,852020: 
,852021: 
,852026: 
,852028: 
,852037: 
,852038: 
,852043: 
,852053: 
,852054: 
,852064: 
,852066: 
,852068: 
,852080: 
,852081: 
,852084: 
,852085: 
,852086: 
,852088: 
,852089: 
,852090: 
,852091: 
,852095: 
,852096: 
,852097: 
,852098: 
,852099: 
,852100: 
,852113: 
,852114: 
,852115: 
,852116: 
,852117: 
,852119: 
,852124: 
,852129: 
,852130: 
,852131: 
,852132: 
,852133: 
,2000410: 
,4285303: 
,4297455: 
,4494715: 
,4498051: 
1,4521221: 
More,4524081: 
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
More,
More,
More,
More,
More,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
