piece,set_ID
27,624: 
1,626: 
1,627: 
1,628: 
,629: 
More,630: 
52,631: 
60,632: 
50,633: 
62,634: 
62,635: 
14,636: 
,637: 
,638: 
400,639: 
1,1728: 
2,1737: 
22,1747: 
1,1749: 
27,1751: 
21,1752: 
,1753: 
,1754: 
950,1776: 
10,1777: 
9,1778: 
10,1779: 
,1784: 
641,1796: 
90,1797: 
1,1802: 
1,1804: 
1,1806: 
122,1808: 
29,1809: 
36,1815: 
135,1817: 
203,1818: 
196,1821: 
10,1823: 
2,1843: 
Yes,1843: 
,1846: 
1,1847: 
2,1853: 
2,1854: 
,1856: 
,1857: 
23,1858: 
9,1859: 
,1861: 
,1866: 
,1868: 
Yes,1869: 
1,2004: 
1,2005: 
,2006: 
,2078: 
1,2091: 
1,2092: 
,2100: 
,2119: 
,2120: 
3,2140: 
2,2146: 
8,2150: 
3,2220: 
4,2221: 
32,2321: 
49,2339: 
2,2346: 
1,2349: 
117,2356: 
5,2673: 
2,2674: 
34,2683: 
4,2685: 
40,2694: 
3,2695: 
10,2696: 
16,2697: 
,2698: 
64,2699: 
9,2731: 
10,2739: 
34,2741: 
83,2745: 
2,2781: 
2,2791: 
1,2917: 
34,2935: 
54,4002: 
99,4012: 
193,4022: 
121,4135: 
,4147: 
135,4532: 
842,4559: 
914,4565: 
,5027: 
,5028: 
5,5029: 
,5087: 
5,5089: 
5,5090: 
5,5091: 
,5110: 
,5128: 
,5129: 
14,5130: 
,5131: 
47,5133: 
62,5140: 
62,5141: 
,5142: 
62,5143: 
,5144: 
62,5145: 
42,5146: 
42,5147: 
38,5149: 
59,5151: 
60,5152: 
,5289: 
,5290: 
12,5291: 
,5292: 
,5293: 
1,5309: 
4,5310: 
,5311: 
,5395: 
8,5396: 
12,5397: 
,5398: 
1757,5571: 
29,5820: 
36,5835: 
96,5875: 
96,5876: 
4,5895: 
59,6024: 
5,6046: 
464,6079: 
2,6104: 
57,6135: 
96,6145: 
258,6190: 
2,6232: 
71,6244: 
2,6248: 
3,6280: 
703,6289: 
4,6296: 
49,6318: 
2,6331: 
181,6334: 
3,6335: 
329,6337: 
2,6404: 
5,6418: 
58,6491: 
157,6492: 
237,6493: 
4,6494: 
,6500: 
29,6517: 
37,6518: 
3,6545: 
39,6546: 
233,6563: 
127,6581: 
552,6598: 
76,6615: 
2,6625: 
28,6712: 
64,6716: 
176,6755: 
5,6761: 
350,6765: 
687,6769: 
29,6815: 
53,6854: 
80,6856: 
158,6899: 
196,6938: 
267,6958: 
662,6982: 
86,8207: 
1,8223: 
175,8230: 
275,8244: 
734,8286: 
289,8408: 
465,8425: 
327,8443: 
404,8456: 
1368,8480: 
,9261: 
182,9293: 
,9410: 
,9707: 
15,9752: 
More,9833: 
