piece,set_ID
4002,10255: 
5923,10256: 
2670,10257: 
1686,10258: 
902,10259: 
502,10703: 
900,10704: 
78,10706: 
55,10707: 
66,10708: 
60,10709: 
47,10730: 
59,10731: 
75,10732: 
62,10733: 
175,10734: 
90,10735: 
94,10736: 
63,10737: 
67,10738: 
108,10739: 
110,10740: 
95,10742: 
116,10743: 
191,10744: 
266,10745: 
100,10746: 
143,10747: 
28,10823: 
19,10832: 
39,10833: 
57,10834: 
69,10835: 
98,10836: 
45,10837: 
15,10838: 
32,10839: 
106,10840: 
61,10841: 
73,10842: 
15,10843: 
70,10844: 
24,10845: 
28,10846: 
23,10847: 
80,10848: 
10,10849: 
8,10850: 
6,10851: 
7,10852: 
75,10853: 
120,10854: 
56,10855: 
23,10856: 
31,10857: 
,10952: 
,11913: 
80,11914: 
843,17101: 
361,21032: 
444,21033: 
468,21034: 
744,21035: 
386,21036: 
774,21037: 
247,21129: 
387,21130: 
454,21131: 
598,21132: 
502,21133: 
729,21134: 
717,21135: 
1122,21136: 
2863,21137: 
495,21308: 
1969,21309: 
2049,21310: 
231,21312: 
7,30323: 
,30324: 
1,30324: 
,30324: 
,30324: 
,30324: 
,30324: 
28,30338: 
44,30351: 
50,30352: 
43,30353: 
38,30354: 
32,30355: 
42,30376: 
47,30377: 
48,30378: 
64,30379: 
26,30400: 
40,30401: 
27,30402: 
43,30425: 
38,30426: 
71,30427: 
60,30428: 
64,30449: 
33,30475: 
33,30476: 
53,30477: 
74,30478: 
55,30496: 
54,30497: 
68,30521: 
59,30522: 
49,30523: 
80,30524: 
55,30546: 
37,30551: 
13,30607: 
7,30608: 
6,30609: 
3,30610: 
70,30611: 
9,30612: 
71,31054: 
72,31055: 
122,31056: 
102,31057: 
174,31058: 
194,31059: 
246,31060: 
205,31062: 
275,31063: 
359,31064: 
566,31065: 
285,31066: 
356,31067: 
386,31068: 
728,31069: 
664,31070: 
100,40170: 
249,40171: 
278,40172: 
268,40173: 
1450,40174: 
48,40175: 
25,40176: 
40,40177: 
205,40178: 
157,40234: 
126,40236: 
145,40237: 
45,40239: 
47,40240: 
36,40241: 
54,40242: 
52,40243: 
37,40244: 
49,40245: 
32,40246: 
43,40247: 
54,40248: 
45,40249: 
56,40250: 
248,40251: 
141,40252: 
254,40253: 
230,40254: 
103,40256: 
145,40260: 
133,40261: 
169,40262: 
179,40263: 
121,40264: 
58,40265: 
105,40266: 
5,40267: 
21,40268: 
7,40269: 
6,40295: 
19,40296: 
6,40297: 
5,40308: 
61,41143: 
75,41144: 
222,41145: 
350,41146: 
153,41147: 
701,41148: 
205,41149: 
307,41150: 
67,41181: 
226,41182: 
339,41183: 
343,41184: 
637,41185: 
145,41186: 
460,41187: 
695,41188: 
206,41230: 
217,41231: 
712,41232: 
145,41233: 
142,41234: 
186,41235: 
176,41236: 
351,41237: 
432,41238: 
1078,41239: 
185,41300: 
145,41301: 
45,41302: 
62,41303: 
45,41304: 
96,41305: 
79,41306: 
91,41307: 
94,41308: 
86,41309: 
185,41310: 
289,41311: 
328,41312: 
589,41313: 
622,41314: 
186,41315: 
309,41316: 
603,41317: 
871,41318: 
246,41319: 
328,41320: 
141,41321: 
307,41322: 
402,41323: 
585,41324: 
326,41325: 
217,41326: 
91,41485: 
127,41486: 
102,41487: 
89,41488: 
Yes,41489: 
,41496: 
,41497: 
,41498: 
91,41585: 
99,41586: 
101,41587: 
151,41588: 
79,41589: 
96,41590: 
143,41591: 
93,41592: 
109,41593: 
118,41594: 
139,41595: 
116,41596: 
199,42057: 
140,42058: 
142,42059: 
365,42060: 
260,42061: 
631,42062: 
603,42063: 
1327,42064: 
370,42065: 
1151,42066: 
1094,42068: 
2382,42069: 
1862,42070: 
274,45021: 
182,45022: 
114,45023: 
295,45024: 
2045,45804: 
,45805: 
47,60135: 
80,60136: 
144,60137: 
294,60138: 
374,60139: 
561,60140: 
894,60141: 
138,60142: 
403,60143: 
89,60144: 
81,60145: 
91,60146: 
144,60147: 
239,60148: 
198,60149: 
249,60150: 
333,60151: 
299,60152: 
169,60153: 
337,60154: 
248,60155: 
53,60156: 
88,60157: 
201,60158: 
378,60159: 
426,60160: 
813,60161: 
1250,60162: 
76,60163: 
141,60164: 
347,60165: 
415,60166: 
792,60167: 
195,60168: 
740,60169: 
,66546: 
,66550: 
,66555: 
,66556: 
,66557: 
,66558: 
,66559: 
1,66580: 
98,70347: 
216,70348: 
208,70349: 
266,70350: 
523,70351: 
840,70352: 
318,70353: 
393,70354: 
598,70355: 
785,70356: 
1426,70357: 
251,70358: 
257,70359: 
153,70361: 
79,70362: 
66,70363: 
80,70364: 
88,70365: 
83,70366: 
10,70372: 
10,70373: 
109,70606: 
233,70607: 
312,70608: 
341,70609: 
341,70610: 
494,70611: 
544,70612: 
747,70613: 
876,70614: 
944,70615: 
914,70616: 
1403,70617: 
2295,70618: 
4867,70620: 
83,70621: 
201,70622: 
360,70623: 
313,70624: 
428,70625: 
704,70626: 
1137,70627: 
48,70628: 
217,70629: 
521,70631: 
1202,70632: 
830,70656: 
124,70900: 
201,70901: 
139,70902: 
254,70903: 
448,70904: 
581,70905: 
433,70906: 
460,70907: 
775,70908: 
1047,70909: 
204,70910: 
305,70911: 
1628,70912: 
141,70913: 
366,70914: 
564,70915: 
1053,70916: 
1456,70917: 
3444,70922: 
,71017: 
1,71017: 
1,71017: 
1,71017: 
1,71017: 
1,71017: 
1,71017: 
1,71017: 
1,71017: 
1,71017: 
1,71017: 
1,71017: 
1,71017: 
1,71017: 
1,71017: 
1,71017: 
1,71017: 
1,71017: 
1,71017: 
1,71017: 
1,71017: 
20,71017: 
,71017: 
,71018: 
1,71018: 
1,71018: 
1,71018: 
1,71018: 
1,71018: 
1,71018: 
1,71018: 
1,71018: 
1,71018: 
1,71018: 
1,71018: 
1,71018: 
1,71018: 
1,71018: 
1,71018: 
1,71018: 
16,71018: 
,71018: 
,71019: 
1,71019: 
1,71019: 
1,71019: 
1,71019: 
1,71019: 
1,71019: 
1,71019: 
1,71019: 
1,71019: 
1,71019: 
1,71019: 
1,71019: 
1,71019: 
1,71019: 
1,71019: 
1,71019: 
1,71019: 
1,71019: 
1,71019: 
1,71019: 
20,71019: 
,71019: 
2294,71042: 
