piece,set_ID
24,1149: 
57,1359: 
58,1374: 
,1375: 
248,1376: 
117,1380: 
176,1381: 
493,1382: 
51,1383: 
6,1384: 
22,1425: 
21,1426: 
21,1427: 
24,1428: 
23,1429: 
16,1430: 
6,1435: 
15,1436: 
12,1437: 
,1542: 
,1543: 
,1545: 
,1546: 
,1709: 
,1710: 
,1711: 
,1712: 
,1713: 
,1714: 
,1715: 
,1716: 
,1717: 
,1718: 
,1719: 
,1720: 
,1727: 
,1728: 
,2033: 
,2035: 
12,3219: 
,3259: 
9,3278: 
11,3279: 
9,3281: 
49,3282: 
44,3283: 
90,3325: 
14,3326: 
26,3327: 
10,3334: 
25,3335: 
,3361: 
,3362: 
,3363: 
,3364: 
,3370: 
,3371: 
,3404: 
12,3420: 
,3420: 
225,3421: 
2,3422: 
54,3423: 
37,3424: 
22,3425: 
22,3425: 
133,3426: 
41,3509: 
8,3605: 
4,3606: 
7,3607: 
19,3608: 
8,3609: 
8,3610: 
13,3611: 
33,3612: 
20,3613: 
33,3614: 
,3615: 
14,3616: 
16,3617: 
53,3618: 
75,3619: 
82,3620: 
29,3621: 
1,3650: 
2,3651: 
,3652: 
619,3739: 
244,3806: 
202,3807: 
235,3808: 
260,3809: 
,3918: 
,3926: 
1,3928: 
1,3929: 
,3945: 
,3946: 
,3947: 
,3950: 
,3951: 
,3962: 
,3983: 
,4040: 
,4042: 
,4043: 
,4044: 
,4045: 
45,4080: 
45,4081: 
45,4082: 
45,4083: 
45,4084: 
,4085: 
90,4087: 
90,4088: 
90,4089: 
Yes,4103: 
200,4104: 
Yes,4105: 
500,4106: 
1000,4107: 
,4108: 
More,4109: 
,4110: 
,4111: 
500,4179: 
90,4180: 
16,4294: 
20,4297: 
24,4298: 
18,4299: 
,4340: 
,4341: 
,4342: 
,4343: 
,4344: 
,4345: 
,4375: 
4,4443: 
4,4444: 
4,4445: 
4,4446: 
4,4447: 
4,4448: 
4,4449: 
4,4450: 
4,4451: 
4,4452: 
4,4453: 
6,4454: 
6,4455: 
5,4456: 
4,4457: 
11,4458: 
4,4459: 
7,4460: 
7,4461: 
19,4462: 
16,4463: 
,4464: 
7,4465: 
4,4466: 
3,4467: 
9,4468: 
9,4469: 
2,4470: 
4,4471: 
4,4472: 
231,4524: 
456,4534: 
762,4535: 
29,4582: 
38,4583: 
57,4584: 
60,4585: 
168,4586: 
195,4587: 
359,4588: 
136,4589: 
26,4590: 
28,4591: 
25,4592: 
70,4593: 
66,4594: 
71,4595: 
89,4596: 
7,4612: 
13,4613: 
12,4614: 
20,4615: 
34,4616: 
28,4617: 
41,4618: 
63,4619: 
170,4620: 
32,4621: 
65,4622: 
23,4711: 
71,4712: 
250,4714: 
128,4726: 
178,4727: 
278,4728: 
446,4729: 
591,4730: 
70,4731: 
129,4733: 
90,4735: 
68,4788: 
162,4789: 
32,4790: 
42,4791: 
111,4792: 
115,4793: 
189,4794: 
468,4795: 
62,4796: 
57,4797: 
21,4798: 
18,4799: 
23,4800: 
,5420: 
,5421: 
,5422: 
,5423: 
1,5424: 
,5425: 
,5426: 
,5427: 
,5428: 
1,5429: 
,5430: 
,5431: 
,5432: 
,5433: 
2,5434: 
,5438: 
,5784: 
,5785: 
,5786: 
23,5836: 
31,5837: 
38,5838: 
36,5842: 
71,5843: 
149,5850: 
148,5871: 
138,5923: 
105,5924: 
136,5927: 
,5991: 
3,5993: 
273,6636: 
11,6731: 
16,6732: 
19,6733: 
53,6734: 
85,6735: 
87,6736: 
93,6737: 
108,6738: 
199,6739: 
330,6740: 
673,6762: 
343,6763: 
171,6764: 
82,7103: 
93,7113: 
118,7119: 
259,7133: 
121,7139: 
267,7142: 
139,7143: 
410,7152: 
360,7153: 
693,7163: 
1075,7194: 
31,7200: 
26,7201: 
59,7203: 
53,7204: 
,7377: 
,7381: 
,7382: 
,7383: 
,7384: 
,7385: 
,7386: 
,7387: 
,7396: 
,7397: 
,7398: 
500,7825: 
200,7830: 
200,7831: 
200,7832: 
600,7837: 
240,8009: 
391,8010: 
422,8011: 
379,8012: 
,8310: 
,8311: 
,8312: 
,8313: 
,8314: 
,8315: 
,8316: 
,8317: 
,8318: 
,8319: 
,8320: 
,8321: 
,8322: 
,8324: 
,8325: 
147,8429: 
318,8430: 
862,8431: 
1484,8461: 
92,8468: 
144,8469: 
148,8470: 
119,8471: 
347,8472: 
500,8473: 
283,8475: 
26,8550: 
28,8551: 
28,8552: 
27,8553: 
27,8554: 
26,8555: 
157,8556: 
378,8557: 
636,8558: 
,8559: 
41,8560: 
41,8561: 
41,8562: 
41,8563: 
41,8564: 
41,8565: 
41,8566: 
37,8567: 
40,8568: 
,8569: 
44,8570: 
42,8571: 
36,8572: 
,8597: 
,8598: 
125,9130: 
105,9134: 
57,9210: 
679,9650: 
,9789: 
,9888: 
435,10020: 
411,10022: 
112,10023: 
664,10024: 
326,10025: 
187,10026: 
3096,10030: 
151,10036: 
183,10037: 
426,10039: 
906,10040: 
,10043: 
44,10044: 
13,10045: 
100,10046: 
36,10047: 
61,10048: 
31,10049: 
34,10050: 
50,10051: 
44,10053: 
68,10054: 
50,10055: 
56,10056: 
56,10057: 
56,10058: 
56,10059: 
56,10060: 
84,10061: 
84,10062: 
84,10063: 
84,10064: 
84,10065: 
37,10066: 
53,10067: 
39,10068: 
33,10069: 
26,10070: 
25,10075: 
3,10153: 
31,10166: 
232,10205: 
,14554: 
,14555: 
,14556: 
,14557: 
,14558: 
,14559: 
,14560: 
,14561: 
,14562: 
,26374: 
,26377: 
,26379: 
,65062: 
,65071: 
,65081: 
,65118: 
,65145: 
,65153: 
,65536: 
,4168037: 
,4168038: 
,4179688: 
,4179689: 
,4179693: 
5,4186875: 
,4186876: 
,4189224: 
4,
4,
4,
5,
,
,
,
,
,
,
,
,
,
