piece,set_ID
95,1029: 
212,1054: 
,1061: 
20,1068: 
22,1069: 
20,1070: 
229,1076: 
25,1088: 
13,1094: 
24,1095: 
23,1096: 
18,1097: 
19,1098: 
24,1099: 
411,1106: 
39,1127: 
21,1128: 
34,1129: 
25,1180: 
23,1181: 
18,1182: 
17,1183: 
24,1184: 
25,1185: 
25,1186: 
23,1187: 
38,1188: 
30,1189: 
45,1190: 
34,1191: 
2,1192: 
44,1193: 
400,1194: 
26,1246: 
32,1247: 
24,1248: 
14,1249: 
25,1250: 
26,1251: 
107,1252: 
102,1253: 
159,1254: 
137,1255: 
144,1256: 
24,1257: 
29,1258: 
28,1259: 
26,1260: 
25,1265: 
23,1266: 
28,1268: 
23,1269: 
33,1271: 
25,1274: 
22,1275: 
22,1276: 
27,1277: 
15,1841: 
15,1995: 
12,2025: 
,2030: 
1,2031: 
18,2032: 
1,2039: 
1,2044: 
17,2045: 
,2046: 
13,2047: 
15,2069: 
1,2071: 
14,2075: 
1,2076: 
1,2101: 
,2103: 
,2104: 
2,2106: 
1,2107: 
1,2108: 
,2109: 
,2190: 
201,2229: 
30,2280: 
47,2281: 
14,2284: 
9,2294: 
11,2299: 
48,2300: 
,2466: 
86,2467: 
78,2588: 
9,2719: 
11,2728: 
17,2729: 
9,2742: 
21,2743: 
10,2744: 
9,2757: 
14,2759: 
97,2769: 
141,2774: 
17,2803: 
5,2807: 
11,2808: 
45,2811: 
38,2814: 
68,2819: 
33,2821: 
4,2828: 
4,2829: 
12,2830: 
13,2831: 
10,2832: 
32,2833: 
41,2834: 
5,2858: 
1,2893: 
7,2981: 
7,2982: 
12,2983: 
20,2984: 
17,2985: 
32,2987: 
28,2988: 
24,3000: 
29,3001: 
28,3003: 
26,3005: 
21,3024: 
600,3032: 
70,3036: 
23,3039: 
464,3041: 
104,3050: 
145,3051: 
169,3052: 
331,3053: 
19,3066: 
21,3067: 
25,3068: 
23,3069: 
21,3070: 
19,3071: 
23,3072: 
21,3073: 
20,3074: 
21,3075: 
23,3076: 
22,3077: 
17,3130: 
1,3132: 
1,3134: 
1,3135: 
1,3136: 
,3137: 
,3138: 
,3139: 
,3140: 
,3141: 
112,3142: 
60,3143: 
35,3144: 
,3146: 
28,3233: 
27,3234: 
98,3438: 
Yes,3505: 
26,3506: 
39,3520: 
35,3521: 
,3533: 
79,3554: 
262,3555: 
258,3582: 
70,3803: 
,3913: 
,3914: 
25,4281: 
37,4282: 
53,4283: 
121,4284: 
256,4285: 
400,4288: 
762,4291: 
806,4293: 
More,4519: 
58,4533: 
122,4541: 
185,4553: 
236,4556: 
215,4557: 
658,4560: 
665,4561: 
31,4805: 
40,4910: 
39,4920: 
46,4930: 
109,4940: 
90,4950: 
,4959: 
168,4970: 
351,4980: 
406,4990: 
,5021: 
7,5025: 
,5203: 
11,5204: 
14,5205: 
62,5215: 
57,5216: 
42,5217: 
17,5313: 
31,5314: 
60,5315: 
62,5316: 
39,5317: 
23,5318: 
19,5319: 
66,5320: 
10,5321: 
25,5399: 
,5413: 
24,5414: 
15,5415: 
393,5533: 
788,5563: 
,5703: 
,5704: 
,5705: 
,5706: 
,5707: 
,5708: 
,5709: 
1,5801: 
9,5802: 
6,5803: 
38,5804: 
69,5805: 
61,5807: 
213,5808: 
5,5811: 
8,5812: 
19,5901: 
19,5902: 
33,5905: 
24,5906: 
72,5925: 
128,5936: 
175,5956: 
318,5976: 
458,5986: 
37,6425: 
43,6427: 
45,6429: 
134,6432: 
90,6433: 
210,6434: 
221,6435: 
22,6436: 
28,6437: 
30,6439: 
26,6446: 
49,6447: 
32,6452: 
60,6453: 
133,6454: 
245,6455: 
494,6456: 
18,6457: 
31,6458: 
112,6459: 
,6460: 
30,6461: 
36,6463: 
334,6464: 
66,6465: 
66,6467: 
50,6468: 
129,6469: 
22,6498: 
20,6942: 
20,6943: 
52,7101: 
49,7110: 
62,7111: 
82,7121: 
93,7128: 
215,7130: 
136,7131: 
266,7140: 
179,7141: 
409,7150: 
244,7151: 
379,7161: 
896,7171: 
46,8246: 
44,8247: 
89,8251: 
183,8252: 
210,8253: 
202,8255: 
85,8268: 
345,8269: 
309,8444: 
446,8445: 
582,8446: 
1437,8448: 
643,8450: 
33,8500: 
34,8501: 
45,8502: 
39,8503: 
44,8504: 
36,8505: 
34,8506: 
37,8507: 
,8508: 
135,8520: 
144,9065: 
86,9122: 
172,9301: 
168,9533: 
211,9633: 
,9680: 
,9709: 
390,9735: 
,9738: 
726,9747: 
657,9748: 
,9755: 
,9756: 
,9757: 
,9758: 
,9805: 
,9912: 
,9916: 
,4127417: 
,
,
,
,
