piece,set_ID
2380,10251: 
1167,10252: 
4163,10253: 
734,10254: 
1600,10654: 
583,10702: 
1000,10705: 
63,10720: 
66,10721: 
92,10722: 
70,10723: 
164,10724: 
172,10725: 
58,10726: 
136,10727: 
173,10728: 
116,10729: 
13,10801: 
18,10802: 
40,10803: 
86,10804: 
163,10805: 
20,10806: 
15,10807: 
13,10808: 
15,10809: 
45,10810: 
19,10811: 
28,10812: 
67,10813: 
28,10814: 
18,10815: 
36,10816: 
70,10817: 
29,10818: 
25,10819: 
110,10820: 
30,10822: 
23,10824: 
37,10825: 
44,10826: 
48,10827: 
30,10828: 
18,10829: 
27,10830: 
19,10831: 
92,11911: 
73,11912: 
212,21026: 
289,21027: 
598,21028: 
780,21029: 
1032,21030: 
333,21031: 
208,21123: 
559,21124: 
706,21125: 
318,21126: 
984,21127: 
1600,21128: 
769,21305: 
553,21306: 
771,21307: 
56,30277: 
64,30278: 
43,30279: 
4,30321: 
7,30322: 
,30322: 
,30322: 
,30322: 
,30322: 
,30322: 
46,30346: 
53,30347: 
45,30348: 
47,30349: 
53,30350: 
42,30371: 
45,30372: 
47,30373: 
40,30374: 
24,30375: 
28,30396: 
48,30397: 
37,30398: 
51,30399: 
30,30421: 
39,30422: 
38,30423: 
43,30424: 
63,30446: 
25,30447: 
49,30448: 
47,30471: 
43,30472: 
30,30473: 
77,30474: 
2,30601: 
7,30602: 
16,30603: 
7,30604: 
5,30605: 
6,30606: 
65,31040: 
64,31041: 
100,31042: 
124,31043: 
202,31044: 
213,31045: 
222,31046: 
230,31047: 
368,31048: 
326,31049: 
467,31050: 
528,31051: 
792,31052: 
387,31053: 
,40127: 
,40128: 
,40130: 
,40131: 
536,40161: 
89,40165: 
210,40166: 
10,40167: 
,40179: 
150,40201: 
111,40202: 
150,40203: 
163,40204: 
238,40205: 
155,40206: 
165,40207: 
40,40208: 
26,40209: 
49,40210: 
34,40211: 
39,40212: 
24,40213: 
60,40214: 
58,40215: 
65,40216: 
52,40217: 
39,40218: 
55,40219: 
118,40220: 
105,40221: 
250,40222: 
215,40223: 
197,40225: 
133,40226: 
180,40227: 
133,40228: 
145,41065: 
174,41066: 
374,41067: 
477,41068: 
70,41069: 
191,41110: 
109,41111: 
50,41112: 
52,41113: 
54,41114: 
108,41115: 
185,41116: 
194,41117: 
313,41118: 
439,41119: 
114,41120: 
320,41121: 
726,41122: 
77,41123: 
286,41124: 
370,41125: 
575,41126: 
174,41127: 
195,41128: 
243,41129: 
1124,41130: 
218,41131: 
176,41132: 
424,41133: 
774,41134: 
597,41135: 
98,41140: 
79,41141: 
186,41142: 
80,41171: 
212,41172: 
230,41173: 
343,41174: 
441,41175: 
691,41176: 
273,41177: 
585,41178: 
833,41179: 
1014,41180: 
,41490: 
,41491: 
,41492: 
,41493: 
63,41554: 
69,41555: 
62,41556: 
64,41557: 
63,41558: 
64,41559: 
70,41560: 
57,41561: 
54,41562: 
