piece,set_ID
,54: 
,697: 
8,1739: 
90,1781: 
322,1782: 
,1783: 
1,1824: 
19,1825: 
,1826: 
,1827: 
,1867: 
1,2003: 
,2009: 
1,2010: 
,2081: 
1,2083: 
,2085: 
,2087: 
1,2089: 
,2093: 
,2094: 
,2095: 
,2096: 
,2097: 
1,2098: 
10,2099: 
,2121: 
,2122: 
,2123: 
39,2124: 
70,2125: 
378,2126: 
,2127: 
63,2129: 
9,2135: 
11,2136: 
8,2137: 
8,2138: 
12,2139: 
183,2147: 
105,2148: 
191,2149: 
136,2151: 
221,2152: 
280,2153: 
2,2154: 
110,2160: 
136,2161: 
287,2162: 
9,2163: 
9,2164: 
10,2165: 
10,2166: 
8,2167: 
,2168: 
1,2181: 
,2184: 
1,2186: 
1,2187: 
1,2188: 
3,2189: 
228,2195: 
466,2199: 
32,2241: 
50,2242: 
1,2245: 
,2246: 
,2247: 
,2249: 
72,2251: 
36,2252: 
10,2261: 
1,2262: 
1,2264: 
,2265: 
91,2266: 
,2581: 
7,2601: 
27,2602: 
2,2603: 
58,2604: 
42,2605: 
6,2606: 
1,2607: 
1,2684: 
47,2687: 
41,2761: 
3,2762: 
13,2805: 
4,2806: 
10,2840: 
9,2841: 
,2842: 
8,2844: 
20,2845: 
18,2846: 
15,2847: 
19,2848: 
20,2849: 
31,2851: 
57,2852: 
19,2870: 
16,2871: 
19,2872: 
,2873: 
,2874: 
,2875: 
,2876: 
,2877: 
16,2878: 
29,2880: 
19,2881: 
22,2882: 
28,2883: 
20,2884: 
27,2885: 
25,2886: 
15,2887: 
1,3200: 
31,3201: 
42,3202: 
1,3203: 
54,3240: 
54,3241: 
76,3242: 
92,3243: 
120,3270: 
265,3290: 
,4055: 
,4128: 
,4129: 
131,4137: 
,4138: 
249,4139: 
,4148: 
,4157: 
1,4158: 
,4168: 
,4169: 
,5024: 
,5026: 
20,5201: 
8,5202: 
,5227: 
26,5228: 
23,5229: 
,5391: 
34,5392: 
,5393: 
12,5394: 
761,5561: 
,5731: 
9,5821: 
1,5822: 
1,5853: 
47,5854: 
148,5855: 
62,5874: 
20,6004: 
,6006: 
12,6007: 
55,6027: 
56,6037: 
139,6047: 
250,6087: 
601,6097: 
3,6099: 
5,6204: 
3,6249: 
3,6250: 
6,6281: 
,6320: 
,6321: 
,6322: 
More,6323: 
23,6400: 
1,6406: 
26,6407: 
36,6417: 
449,6441: 
152,6442: 
3,6444: 
66,6486: 
68,6487: 
2,6489: 
1,6490: 
81,6495: 
152,6496: 
300,6497: 
1,6499: 
5,6547: 
125,6548: 
4,6549: 
49,6550: 
3,6553: 
255,6554: 
30,6555: 
77,6556: 
3,6557: 
187,6558: 
348,6559: 
471,6560: 
35,6564: 
78,6565: 
99,6566: 
2,6599: 
30,6706: 
16,6709: 
74,6718: 
134,6746: 
256,6748: 
353,6766: 
21,6790: 
1,6791: 
75,6799: 
20,6800: 
1,6816: 
36,6818: 
53,6829: 
40,6836: 
114,6900: 
236,6915: 
369,6975: 
292,6979: 
114,6999: 
63,8205: 
107,8215: 
97,8216: 
138,8222: 
185,8229: 
289,8232: 
1,8250: 
554,8277: 
0,8299: 
244,8414: 
419,8437: 
591,8459: 
1280,8479: 
60,8735: 
,8760: 
9,9279: 
,9291: 
,9366: 
321,9376: 
716,9453: 
,9615: 
74,9616: 
89,9617: 
463,9618: 
277,9630: 
99,9654: 
50,9655: 
,9708: 
9,9848: 
,4117463: 
,
,
