piece,set_ID
216,1298: 
6,1800: 
,2000: 
,2001: 
,2002: 
1,2007: 
1,2011: 
,2012: 
1,2013: 
1,2017: 
1,2018: 
,2019: 
,2021: 
,2022: 
,2028: 
7,2130: 
6,2131: 
10,2132: 
12,2133: 
10,2134: 
3,2198: 
33,2222: 
39,2223: 
118,2224: 
50,2226: 
146,2234: 
49,2268: 
1,2269: 
,2270: 
4,2271: 
8,2277: 
73,2279: 
1,2431: 
3,2432: 
8,2433: 
31,2434: 
37,2435: 
41,2436: 
6,2438: 
466,2449: 
172,2490: 
400,2494: 
99,2531: 
143,2532: 
30,2535: 
23,2536: 
24,2537: 
20,2538: 
21,2539: 
28,2540: 
24,2541: 
21,2542: 
18,2543: 
27,2544: 
168,2554: 
47,2555: 
580,2556: 
103,2580: 
22,2584: 
32,2585: 
26,2586: 
13,2599: 
30,2600: 
50,2763: 
5,2815: 
30,2817: 
56,2818: 
77,2838: 
72,2854: 
,2855: 
8,2862: 
16,2864: 
25,2865: 
43,2866: 
196,2879: 
1,2889: 
22,2890: 
1,2891: 
21,2892: 
19,2895: 
,2898: 
303,2907: 
28,2922: 
70,2962: 
84,2963: 
46,2964: 
73,2965: 
70,2995: 
81,2996: 
40,2997: 
197,2998: 
20,3012: 
23,3013: 
19,3014: 
23,3015: 
24,3016: 
25,3017: 
25,3018: 
23,3019: 
18,3020: 
17,3021: 
23,3022: 
24,3023: 
,3025: 
,3026: 
,3027: 
836,3028: 
1,3029: 
,3030: 
1200,3033: 
140,3037: 
366,3038: 
153,3040: 
187,3042: 
1,3047: 
,3054: 
21,3055: 
23,3056: 
17,3078: 
14,3079: 
16,3080: 
16,3081: 
,3100: 
,3101: 
,3102: 
1,3103: 
1,3104: 
1,3105: 
1,3106: 
1,3107: 
25,3108: 
16,3110: 
32,3112: 
49,3114: 
41,3115: 
65,3116: 
83,3117: 
116,3118: 
168,3119: 
Yes,3120: 
27,3204: 
26,3205: 
18,3206: 
22,3210: 
21,3211: 
16,3220: 
281,3225: 
311,3226: 
,3244: 
,3245: 
,3260: 
,3302: 
63,3303: 
4,3304: 
4,3305: 
8,3306: 
84,3308: 
96,3309: 
93,3310: 
99,3311: 
78,3312: 
96,3313: 
143,3314: 
4,3317: 
4,3318: 
4,3320: 
5,3323: 
5,3324: 
17,3330: 
14,3331: 
18,3332: 
17,3333: 
1,3442: 
26,3501: 
Yes,3502: 
Yes,3503: 
30,3504: 
25,3510: 
29,3531: 
Yes,3532: 
80,3551: 
126,3552: 
142,3571: 
171,3581: 
265,3591: 
164,3722: 
600,3758: 
,3759: 
,3760: 
,3761: 
70,3762: 
182,3888: 
,3978: 
53,4211: 
95,4212: 
563,4213: 
243,4214: 
264,4215: 
509,4216: 
219,4217: 
288,4219: 
428,4220: 
66,4221: 
355,4222: 
546,4223: 
359,4224: 
243,4225: 
508,4226: 
812,4229: 
,4232: 
1,4239: 
416,4244: 
2,4254: 
400,4255: 
1010,4258: 
,4259: 
468,4267: 
,4269: 
,4271: 
,4273: 
509,4274: 
,4275: 
,4276: 
39,4280: 
17,4304: 
36,4305: 
,5022: 
4,5023: 
,5225: 
18,5226: 
60,5294: 
12,5295: 
27,5381: 
19,5382: 
34,5383: 
21,5384: 
38,5386: 
13,5387: 
26,5388: 
37,5389: 
14,5390: 
,5400: 
14,5401: 
,5402: 
,5403: 
,5404: 
,5405: 
483,5542: 
298,5600: 
,5700: 
,5701: 
,5702: 
1,5841: 
16,5844: 
50,5845: 
87,5846: 
130,5847: 
223,5848: 
13,5900: 
197,5909: 
35,5918: 
164,5919: 
70,5928: 
77,5938: 
196,5948: 
260,5958: 
347,5978: 
711,5988: 
13,6013: 
22,6028: 
1,6029: 
30,6031: 
54,6033: 
112,6045: 
198,6083: 
277,6088: 
409,6089: 
694,6093: 
24,6100: 
1,6107: 
79,6109: 
25,6110: 
78,6140: 
104,6150: 
1,6159: 
301,6160: 
297,6180: 
408,6198: 
482,6199: 
17,6324: 
28,6325: 
35,6326: 
48,6327: 
102,6328: 
137,6329: 
242,6330: 
272,6332: 
50,6333: 
18,6415: 
12,6420: 
43,6422: 
101,6424: 
137,6426: 
1,6428: 
48,6431: 
101,6445: 
153,6451: 
194,6462: 
305,6473: 
423,6479: 
29,6567: 
292,6568: 
52,6572: 
109,6580: 
3,6582: 
350,6584: 
19,6585: 
1,6589: 
33,6817: 
58,6837: 
20,6901: 
1,6902: 
25,6903: 
114,6905: 
96,6907: 
96,6909: 
250,6919: 
256,6969: 
437,6977: 
72,8202: 
37,8203: 
41,8204: 
53,8208: 
49,8209: 
98,8213: 
64,8217: 
Yes,8218: 
103,8219: 
127,8226: 
120,8233: 
120,8239: 
222,8245: 
231,8248: 
367,8257: 
366,8266: 
315,8417: 
471,8428: 
471,8432: 
774,8462: 
900,8482: 
900,8483: 
,9020: 
2,9071: 
32,9137: 
74,9139: 
117,9203: 
240,9243: 
576,9251: 
250,9265: 
288,9269: 
4,9286: 
,9370: 
,9377: 
,9713: 
733,9719: 
301,9725: 
91,9730: 
148,9732: 
1701,9780: 
,9806: 
108,9937: 
,78579: 
,880001: 
,880002: 
,
