name,price,set_ID,rating
Stack-n-Learn Gift Item,,1166: ,3.7
Clikits Bracelet,,1385: ,3.7
Tahnok Va,,1431: ,3.7
Nuhvok Va,,1432: ,3.7
Gahlok Va,,1433: ,3.7
Lehvak Va,,1434: ,3.7
Fikou,,1441: ,3.7
Luke Skywalker pen,,1729: ,3.7
Paploo pen,,1730: ,3.7
Storm Trooper pen,,1731: ,3.7
Obi-Wan Kenobi pen,,1732: ,3.7
Tusken Raider pen,,1733: ,3.7
Yoda pen,,1734: ,3.7
Little Fish,,3223: ,3.7
Bob's Busy Day,"$5.00 ,55.6c,Normal",3284: ,3.7
Wendy in the Office,"$5.00 ,55.6c,Normal",3285: ,3.7
Spud and Bird,"$5.00 ,55.6c,Normal",3286: ,3.7
Takutanuva,,3287: ,3.7
Johnny Thunder,,3380: ,3.7
Sam Sinister,,3381: ,3.7
China Girl,,3382: ,3.7
Chef,,3383: ,3.7
Construction Worker,,3384: ,3.7
Train Conductor,,3385: ,3.7
Pepper,,3386: ,3.7
Brickster,,3387: ,3.0
Beach Dude,,3388: ,3.0
Skater Boy,,3389: ,3.0
Street Basket,,3390: ,3.0
Dash the Diver,,3391: ,3.0
Championship Challenge II (Bayern Munich FC Edition),,3420: ,3.0
Shoot 'n' Save (Bayern Munich FC Edition),,3422: ,3.0
NBA Slam Dunk,"$8.00 ,15.1c,Box,Retail,Normal",3427: ,3.0
One vs One Action,"$10.00 ,25.6c,Box,Retail,Normal",3428: ,3.0
Ultimate Defense,"$15.00 ,18.3c,Box,Retail,Normal",3429: ,3.0
Spin & Shoot,,3430: ,3.0
Street Ball 2 vs 2,"$20.00 ,10.8c,Box,Retail,Normal",3431: ,3.0
NBA Challenge,"$50.00 ,11.1c,Box,Retail,Normal",3432: ,3.0
The Ultimate NBA Arena,"$80.00 ,16.3c,Box,Retail,Normal",3433: ,3.0
NBA Jam Session Co-Pack,"$20.00 ,28.6c,Box,Retail,Normal",3440: ,3.0
Kobe Bryant,,3500: ,3.0
Funny Crocodile,"$10.00 ,62.5c,Normal",3511: ,3.0
Funny Giraffe,"$10.00 ,47.6c,Normal",3512: ,3.0
Funny Lion,"$10.00 ,43.5c,Normal",3513: ,3.0
Rhino and Lion,"$15.00 ,50.0c,Normal",3514: ,3.0
African Adventures,"$20.00 ,38.5c,Normal",3515: ,3.0
