name,price,set_ID,rating
Basic Souvenir Box,,1: ,3.0
Building Ideas Book,"$2.40 ,Book",226: ,3.0
Basic Set,"82,$6.00 ,7.3c,Normal",322: ,3.0
Basic Set,"98,$10.00 ,10.2c,Normal",333: ,3.0
Universal Building Set,"181,$18.50 ,10.2c,Normal",355: ,3.0
Basic Building Set,,366: ,3.0
"Basic Building Set, 5+","141,$9.50 ,6.7c,Normal",544: ,3.0
"Basic Building Set, 5+",,555: ,3.0
"Basic Building Set, 5+","288,$26.00 ,9.0c,Normal",566: ,3.0
"Basic Building Set, 5+","384,$38.00 ,9.9c,Normal",577: ,3.0
Wind-Up Motor,,890: ,3.0
Road Plates and Signs,,1060: ,3.0
Dacta Buildings,,1064: ,3.0
Battery Wagon,,1134: ,3.0
 Battery Cable Kit,,1135: ,3.0
"Buffers, Magnetic Couplers",,1136: ,3.0
Train Couplings,,1137: ,3.0
Replacement Rubber Wheel Treads for Trains,,1138: ,3.0
Motor-Mount Plate with Magnetic Couplers,,1139: ,3.0
12V Light Bricks,,1140: ,3.0
Wheel Bricks with Small Red Train Wheels,,1141: ,3.0
Wheel Bricks with Small Black Train-Wheels,,1142: ,3.0
Wheel Bricks with Large Red Train Wheels,,1143: ,3.0
Train Baseplate,,1144: ,3.0
 Bogie Plate,,1145: ,3.0
"Pushrods, Cylinder Housings",,1146: ,3.0
"Light Prisms & Holder, Red/Yellow Light Covers",,1147: ,3.0
Silja Line Ferry,,1581: ,3.0
Basic Set,,2330: ,3.0
Basic Set,,2340: ,3.0
Basic Building Set,,2350: ,3.0
Basic Set,,2360: ,3.0
Basic Set,,2370: ,3.0
Helicopter,,2624: ,3.0
Service Station,,2644: ,3.0
Elton Elephant,,3601: ,3.0
Boris Bulldog and Mailbox,,3603: ,3.0
Percy Pig,,3615: ,3.0
Perry Panda and Chester Chimp,,3628: ,3.0
Barney Bear,,3629: ,3.0
Bonnie Bunny's Camper,,3635: ,3.0
Castle,"767,$48.00 ,6.3c,Normal",6075: ,3.0
Knight's Procession,"48,$5.00 ,10.4c,Box,Retail - limited,Normal",6077: ,3.0
Knight's Joust,"211,$16.00 ,7.6c,Box,Retail - limited,Normal",6083: ,3.0
Summer Cottage,,6365: ,3.0
Fire Station,"390,$25.00 ,6.4c,Box,Retail,Normal",6382: ,3.0
Public Works Center,"421,$30.00 ,7.1c,Box,Retail - limited,Normal",6383: ,3.0
Police Patrol,,6600: ,3.0
Fire Unit I,,6602: ,3.0
Gas Pumps,,6610: ,3.0
Fire Chief's Car,,6611: ,4.0
Rescue Helicopter,,6626: ,4.0
Shell Tow Truck,,6628: ,4.0
Ambulance,,6629: ,4.0
Bucket Loader,,6630: ,4.0
Fire and Rescue Van,,6650: ,4.0
Ambulance,,6680: ,4.0
Police Van,,6681: ,4.0
Red Cross Helicopter,,6691: ,4.0
Moon Buggy,,6801: ,4.0
Space Digger,,6822: ,4.0
Small Space Shuttle Craft,,6842: ,4.0
Space Probe Launcher,,6870: ,4.0
All-Terrain Vehicle,"170,$14.50 ,8.5c,Normal",6927: ,4.0
Star Fleet Voyager,"242,$15.00 ,6.2c,Normal",6929: ,4.0
Electric Passenger Train Set,"485,$70.00 ,14.4c,Normal",7725: ,4.0
Trains Ideas Book,,7777: ,4.0
Remote Controlled Decoupling and Signal 12 V,,7862: ,4.0
Technical Elements,,8710: ,4.0
Helicopter,,8844: ,4.0
Dune Buggy,"174,$20.00 ,11.5c,Box,Retail,Normal",8845: ,4.0
Power Truck,,8848: ,4.0
Tractor,,8859: ,4.0
