name,price,set_ID,rating
"Basic Building Set, 3+","152,$2.75 ,1.8c,Normal",10: ,4.0
"Basic Building Set, 3+",,20: ,4.0
"Basic Building Set, 3+",,30: ,4.0
"Basic Building Set, 3+",,40: ,4.0
"Basic Building Set, 3+",,50: ,4.0
Basic Set,,55: ,4.0
PreSchool Set,,74: ,4.0
Police Station,,080: ,4.0
Train Station,,081: ,4.0
LEGOVille,,082: ,4.0
Universal Motor,,107: ,4.0
Battery box,,108: ,4.0
Level Crossing,,146: ,4.0
Refrigerated Wagon,,147: ,4.0
Fuel Refinery,,149: ,4.0
Straight Track,,156: ,4.0
Curved Track,,157: ,4.0
Straight Track with Crossing,,159: ,4.0
Train set with motor and signal,,183: ,4.0
Family,,194: ,4.0
Farm Set,,197: ,4.0
Cowboys,,210: ,4.0
Mother and baby with dog,,211: ,4.0
Scooter,,212: ,4.0
Building Ideas Book,"1,$1.00 ,100.0c,Book",222: ,4.0
Police Officers and Motorcycle,,256: ,4.0
Zoo (with Baseboard),,258: ,4.0
Police Launch,,314: ,4.0
Container Ship,,315: ,4.0
Taxi Garage,,368: ,4.0
Coast Guard Station,,369: ,4.0
Police Headquarters,,370: ,4.0
Jeep with Steering,,385: ,4.0
Air Ambulance,,386: ,4.0
Excavator and Dumper,,387: ,4.0
Norton Motorcycle,,393: ,4.0
Harley-Davidson 1000cc,,394: ,4.0
1909 Rolls-Royce,,395: ,4.0
Thatcher Perkins Locomotive,,396: ,4.0
Fork Lift,,425: ,4.0
Tipper Truck,,435: ,4.0
Police Units,,445: ,4.0
Learjet,,455: ,4.0
Fire Truck,,485: ,4.0
Puppy,,530: ,4.0
Elephants,,531: ,4.0
Pull-Along Ducks,,532: ,4.0
Windmill,,550: ,4.0
Hospital,"202,$15.00 ,7.4c,Normal",555: ,4.0
Moon Landing,,565: ,4.0
Police Headquarters,,585: ,4.7
Cargo Ship,,616: ,4.7
Cowboys,,617: ,4.7
Spirit of St. Louis,,661: ,4.7
Dump Truck,,662: ,4.7
Racing Car,,695: ,4.7
Bus Station,,696: ,4.7
Stage Coach,"95,$5.00 ,5.3c,Normal",697: ,4.7
Western Train,,726: ,4.7
Rescue Set,,770: ,4.7
Road Construction Set,,780: ,4.7
Universal Motor Set,,901: ,4.7
"Advanced Basic Set, 6+",,910: ,4.7
"Advanced Basic Set, 6+",,911: ,4.7
"Advanced Basic Set with Motor, 6+",,912: ,4.7
LEGO Number/Symbol Blocks,"100,$32.00 ,32.0c,Normal",1011: ,4.7
Letter Bricks for Wall Board,"$48.00 ,Normal",1017: ,4.7
Educational LEGO Building Set,"683,$38.50 ,5.6c,Normal",1045: ,4.7
House Accessories,,1074: ,4.7
Supplementary Set,,1077: ,4.7
Airliner,,1560: ,4.7
Airline Staff,,1561: ,4.7
Biplane,,1562: ,4.7
Factory,,1601: ,4.7
Windmill,,,4.7
House,,,
House,,,
