name,price,set_ID,rating
Pencil Pot,"$12.99, 12.99€ | ,6.9c, 6.9c,Box,Retail - limited,USA: Aug 18, UK/EU: Aug 18,Normal",40188: ,4.0
Wedding Favour Set 2018,"$9.99, 9.99€ | ,7.6c, 7.6c,Box,LEGO exclusive,USA: Jan 19, UK/EU: Jan 19,Normal",40197: ,4.0
LEGO Ludo Game,"$39.99, 39.99€ | ,10.3c, 10.3c,Box,LEGO exclusive,USA: Oct 18, UK/EU: Oct 18,Normal",40198: ,4.0
Billund Airport ,,40199: ,4.0
Year of the Dog,,40235: ,4.0
Valentine's Bee,"$9.99, 9.99€ | ,7.1c, 7.1c,Box,LEGO exclusive,USA: Jan 18, UK/EU: Dec 17,Normal",40270: ,4.0
Easter Bunny,"$9.99, 9.99€ | ,7.9c, 7.9c,Box,LEGO exclusive,USA: Feb 18, UK/EU: Feb 18,Normal",40271: ,4.0
Halloween Witch,"$9.99, 6.99€ | ,6.6c, 4.6c,Box,LEGO exclusive,USA: Sep 18, UK/EU: Sep 18,Normal",40272: ,4.0
Thanksgiving Turkey,"$9.99, 6.99€ | ,8.8c, 6.1c,Box,LEGO exclusive,USA: Oct 18, UK/EU: Oct 18,Normal",40273: ,4.0
Mr. & Mrs. Claus,"$19.99, 19.99€ | ,5.9c, 5.9c,Box,LEGO exclusive,USA: Oct 18, UK/EU: Oct 18,Normal",40274: ,4.0
Walrus,,40276: ,4.0
Car and petrol pump,,40277: ,4.0
Lamb,,40278: ,4.0
Frog,,40279: ,4.0
Tractor,,40280: ,4.0
Surfer Dragon,,40281: ,4.0
BBQ,,40282: ,4.0
Snail,,40283: ,4.0
Glider,,40284: ,4.0
Scarecrow,,40285: ,4.0
Ice Dragon,,40286: ,4.0
Sleigh,,40287: ,4.0
BB-8,,40288: ,4.0
Diagon Alley,,40289: ,4.0
60 Years of the LEGO Brick,,40290: ,4.0
Creative Personalities,,40291: ,4.0
Christmas Gift Box,,40292: ,4.0
Christmas Carousel,,40293: ,4.0
DJ,,40298: ,4.0
Kessel Mine Worker,,40299: ,4.0
Han Solo Mudtrooper,,40300: ,4.0
Bat Shooter,,40301: ,4.0
Become my City Hero,,40302: ,4.0
Vehicle Set,,40303: ,4.0
Numbers,,40304: ,4.0
LEGO Brand Store,"$24.99, 24.99€ | ,6.9c, 6.9c,Box,LEGO exclusive,UK/EU: Nov 18,Normal",40305: ,4.0
LEGOLAND Castle,"$19.99 ,9.1c,Box,LEGOLAND exclusive,Normal",40306: ,4.0
Castle Interior Kit,"$2.49, 9.99€ | ,2.2c, 8.7c,Box,USA: Jan 18, UK/EU: Dec 17,Normal",40307: ,4.0
Food Accessories,"$3.99, 3.99€ | ,13.3c, 13.3c,Polybag,LEGO exclusive,UK/EU: Aug 18,Normal",40309: ,4.0
Botanical Accessories,"$3.99, 3.99€ | ,16.6c, 16.6c,Polybag,LEGO exclusive,UK/EU: Aug 18,Normal",40310: ,4.0
Traffic Lights,"$3.99, 3.99€ | ,8.7c, 8.7c,Polybag,LEGO exclusive,UK/EU: Aug 18,Normal",40311: ,4.0
Streetlamps,"$3.99, 3.99€ | ,11.7c, 11.7c,Polybag,LEGO exclusive,UK/EU: Aug 18,Normal",40312: ,4.0
Bicycles,"$3.99, 3.99€ | ,19.0c, 19.0c,Polybag,LEGO exclusive,UK/EU: Aug 18,Normal",40313: ,4.0
