name,price,set_ID,rating
"Basic Building Set, 3+","2,$3.50 ,175.0c,Normal",7: ,3.0
"Basic Building Set, 3+","1,$5.50 ,550.0c,Normal",8: ,3.0
"Basic Building Set, 3+",,9: ,3.0
Puppy,,061: ,3.0
Ducks,,063: ,3.0
Tub Boat,,086: ,3.0
Passenger Coach,,164: ,3.0
Cargo Station,,165: ,3.0
Flat wagon,,166: ,3.0
Car transport wagon,,167: ,3.0
People Set,"120,$29.00 ,24.2c,Normal",205: ,3.0
Mother with baby,,208: ,3.0
Hairdressing Salon,,230: ,3.0
Hospital,,231: ,3.0
Bungalow,,232: ,3.0
Television Room,,278: ,3.0
Nursery,,297: ,3.0
"Road Plates, Junction",,300: ,3.0
"Road Plates, Curved",,301: ,3.0
"Road Plates, Straight",,302: ,3.0
Fire Fighting Launch,,316: ,3.0
Gas Station,,330: ,3.0
Fire Trucks,,340: ,3.0
Fire Station,,374: ,3.0
Castle,,375: ,3.0
House with Garden,,376: ,4.4
Shell Service Station,,377: ,4.4
USS Constellation,,398: ,4.4
Mobile Rocket Launcher,,462: ,4.4
Alpha-1 Rocket Base,,483: ,4.4
Space Cruiser,"170,$10.00 ,5.9c,Normal",487: ,4.4
Space Command Center,,493: ,4.4
Building Set,,528: ,4.4
Animals,,529: ,4.4
Bath-Toy Boat,,534: ,4.4
Coast Guard Station,,575: ,4.4
Engine Co. No. 9,,590: ,4.4
Police Car,,600: ,4.4
Shell Filling Station,,601: ,4.4
Fire Chief's Car,,602: ,4.4
Motorbike,,603: ,4.4
Shell Service Car,,604: ,4.4
Street Crew,,605: ,4.4
Ambulance,,606: ,4.4
Fire Truck,,620: ,4.4
Police Car,,621: ,4.4
Tipper Truck,,622: ,4.4
Red Cross Car,,623: ,4.4
Tractor Digger,,625: ,4.4
Red Cross Helicopter,"37,$5.50 ,14.9c,Normal",626: ,4.4
Police Helicopter,,628: ,3.0
Fire Truck and Trailer,,640: ,3.0
Excavator,,641: ,3.0
Tow Truck and Car,,642: ,3.0
Flatbed Truck,,643: ,3.0
Police Mobile Patrol,,644: ,3.0
Mobile Crane,,670: ,3.0
Shell Petrol Tanker,,671: ,3.0
Fire Engine and Trailer,,672: ,3.0
Rally Car and Motorbike,,673: ,3.0
Forklift and Truck,,674: ,3.0
Police Boat,,709: ,3.0
"Baseplate, Green","1,$4.25 ,425.0c,Normal",745: ,3.0
"Baseplates, Green and Yellow",,746: ,3.0
"Baseplates, Red and Blue",,747: ,3.0
Fire Fighter,,775: ,3.0
Go-Kart,,854: ,3.0
Mobile Crane,,855: ,3.0
Two Gear Blocks,,872: ,3.0
Go-Kart,"206,$22.00 ,10.7c,Box,Retail,Normal",948: ,3.0
Farm Tractor,,952: ,3.0
Sky Copter,,954: ,3.0
Auto Chassis,,956: ,3.0
Power Pack,,960: ,3.0
Parts Pack,,961: ,3.0
Lighting Bricks,"17,$8.75 ,51.5c,Normal",970: ,4.5
Axles and Bushes,,1117: ,4.5
4.5v motor,,1175: ,4.5
Gear racks and turntables,,1176: ,4.5
Sterling Airways Aircraft,,1555: ,4.5
Main Street,,1589: ,4.5
Airliner,"23,$2.00 ,8.7c,Normal",1610: ,4.5
Aeroplane,,1611: ,4.5
Chocolate Factory,,1620: ,4.5
