name,price,set_ID,rating
Basic Building Set in Cardboard,,040: ,
Pre-School Beginners Set,"24,$4.95 ,20.6c,Box,Normal",041: ,
Basic Building Set in Cardboard,,050: ,
Pre-School Beginners Set,,105: ,
Aeroplane,,303: ,
Tractor & Trailer,,304: ,
Fire Engine,,305: ,
Town House,,322: ,
Train,,323: ,
House with Garage,,324: ,
New York World Fair Promo,,395: ,
New York World Fair Promo,,396: ,
Large Wheels with Axles (System),,401: ,
White Turntables,,402: ,
1:87 Nine Models,,472: ,
1:87 Mercedes Esso Tanker,,650: ,
1:87 Mercedes Truck,,651: ,
1:87 Mercedes Truck/Trailer,,652: ,
1:87 Mercedes Flatbed Truck,,653: ,
1:87 Mercedes Flatbed Truck/Trailer,,654: ,
1:87 Mercedes Fire Truck,,655: ,
1:87 Mercedes Tow Truck,,656: ,
1:87 Mercedes Delivery Van,,657: ,
1:87 VW Van,,658: ,
1:87 VW Pickup,,659: ,
1:87 VW Beetle,,661: ,
1:87 Mercedes 220 S,,664: ,
1:87 Karmann Ghia,,665: ,
1:87 Mercedes Sport,,666: ,
1:87 VW 1500,,667: ,
1:87 Ford Taunus 17M,,668: ,
1:87 Jaguar E-Type with Garage,,670: ,
1:87 Vauxhall Victor Estate with Garage,,671: ,
"Baseplate, Gray","$1.50 ,Retail,Normal",799: ,
Space Rocket,"115,$0.98 ,0.9c,Blister pack,Retail,Normal",801: ,
Player Piano,"90,$0.98 ,1.1c,Blister pack,Retail,Normal",802: ,
Seesaw,"47,$0.98 ,2.1c,Blister pack,Retail,Normal",803: ,
Building Crane,"64,$0.98 ,1.5c,Blister pack,Retail,Normal",804: ,
3 Little Indians,"89,$0.98 ,1.1c,Blister pack,Retail,Normal",805: ,
Cowboy & Pony,"87,$0.98 ,1.1c,Blister pack,Retail,Normal",806: ,
Canister Set (Switzerland),,,
