name,price,set_ID,rating
PreSchool Set,,75: ,3.0
PreSchool Set,,77: ,3.0
PreSchool Set,,78: ,3.0
Basic Set,,78: ,3.0
Locomotive,,133: ,3.0
Mobile Crane and Wagon,,134: ,3.0
Tanker Wagon,,136: ,3.0
Passenger sleeping car,,137: ,3.0
Station,,148: ,3.0
Train Set with Motor,,182: ,3.0
Farm Set,,190: ,3.0
Airplane,,195: ,3.0
Helicopter and Pilot,,253: ,3.0
Family,,254: ,3.0
Farming Scene,,255: ,3.0
Windmill,,362: ,3.0
Hospital,,363: ,3.0
Harbour,,364: ,3.0
Wild West,,365: ,3.0
Space Module with Astronauts,,367: ,3.0
1913 Cadillac,,390: ,3.0
1926 Renault,,391: ,3.0
Formula 1,,392: ,3.0
Biplane,,430: ,3.0
Rescue Helicopter,,480: ,3.0
Mobile Crane,,490: ,4.5
Bricks and half bricks,,516: ,4.5
Bricks and half bricks and arches,,517: ,4.5
Bricks and half bricks and trolley,,518: ,4.5
Bricks and half bricks and arches and trolley,,519: ,4.5
Bricks and half bricks and two tolleys,,520: ,4.5
Bricks and half bricks all colours,,521: ,4.5
Brick Yard,,580: ,4.5
Forklift,"21,$14.95 ,71.2c,Normal",615: ,4.5
Police Patrol,,659: ,4.5
Air Transporter,,660: ,4.5
Road Repair Crew,,692: ,4.5
Fire Engine,,693: ,4.5
Transport Truck,,694: ,4.5
London Bus,,760: ,4.5
Tractor,,814: ,4.5
Holdall Storage Bag,,,4.5
Super Set,,,4.5
