name,price,set_ID,rating
Baby Zoo (Re-release),,4962: ,4.0
Maersk Line Triple-E,"$149.99, 129.99€ | ,9.9c, 8.6c,Box,LEGO exclusive,USA: Jan 14, UK/EU: Jan 14,Normal",10241: ,4.0
MINI Cooper MK VII,"$99.99, 89.99€ | ,9.3c, 8.4c,Box,Retail - limited,USA: Aug 14, UK/EU: Aug 14,Normal",10242: ,4.0
Parisian Restaurant,"$159.99, 149.99€ | ,6.5c, 6.1c,Box,Retail - limited,USA: Jan 14, UK/EU: Jan 14,Normal",10243: ,4.0
Fairground Mixer,"$149.99, 129.99€ | ,8.6c, 7.4c,Box,Retail - limited,USA: Jun 14, UK/EU: Jun 14,Normal",10244: ,4.0
Santa's Workshop,"$69.99, 69.99€ | ,7.9c, 7.9c,Box,Retail - limited,USA: Sep 14, UK/EU: Sep 14,Normal",10245: ,4.0
Baby Calf,"$6.99, 4.89€ | ,77.7c, 54.3c,Box,Retail,USA: Jan 14, UK/EU: Dec 13,Normal",10521: ,4.0
Farm Animals,"$9.99, 9.99€ | ,83.3c, 83.3c,Box,Retail,USA: Jan 14, UK/EU: Dec 13,Normal",10522: ,4.0
Farm Tractor,"$19.99, 19.99€ | ,68.9c, 68.9c,Box,Retail,USA: Jan 14, UK/EU: Dec 13,Normal",10524: ,4.0
Big Farm,"$59.99, 59.99€ | ,49.6c, 49.6c,Box,Retail,USA: Jan 14, UK/EU: Dec 13,Normal",10525: ,4.0
Peter Pan's Visit,"$29.99, 20.99€ | ,76.9c, 53.8c,Box,Retail,USA: Aug 14, UK/EU: Jun 14,Normal",10526: ,4.0
Ambulance,"$14.99, 10.49€ | ,107.1c, 74.9c,Box,Retail - limited,USA: Jan 14, UK/EU: Dec 13,Normal",10527: ,4.0
School Bus,"$19.99, 19.99€ | ,76.9c, 76.9c,Box,Retail - limited,USA: May 14, UK/EU: Jun 14,Normal",10528: ,4.0
Truck,"$14.99, 14.99€ | ,93.7c, 93.7c,Box,Retail - limited,USA: Jan 14, UK/EU: Dec 13,Normal",10529: ,4.0
My First Police Set,"$24.99, 17.49€ | ,64.1c, 44.8c,Box,Retail,USA: Jan 14, UK/EU: Dec 13,Normal",10532: ,4.0
Fire and Rescue Team,"$29.99, 20.99€ | ,100.0c, 70.0c,USA: Aug 14, UK/EU: Jun 14,Normal",10538: ,4.0
Beach Racing,"$24.99, 17.49€ | ,67.5c, 47.3c,Box,Retail,USA: Aug 14, UK/EU: Jun 14,Normal",10539: ,4.0
Sleeping Beauty's Fairy Tale,"$34.99, 34.99€ | ,63.6c, 63.6c,Box,Retail,USA: Jan 14, UK/EU: Dec 13,Normal",10542: ,4.0
Superman Rescue,"$19.99, 9.99€ | ,105.2c, 52.6c,Box,Retail,USA: Aug 14, UK/EU: Jun 14,Normal",10543: ,4.0
The Joker Challenge,"$29.99, 20.99€ | ,75.0c, 52.5c,Box,Retail,USA: Aug 14, UK/EU: Jun 14,Normal",10544: ,4.0
Batcave Adventure,"$49.99, 49.99€ | ,84.7c, 84.7c,Box,Retail,USA: Aug 14, UK/EU: Jun 14,Normal",10545: ,4.0
My First Shop,"$24.99, 17.49€ | ,64.1c, 44.8c,Box,Retail,USA: Jan 14, UK/EU: Dec 13,Normal",10546: ,4.0
Creative Suitcase,"$59.99, 39.99€ | ,44.4c, 29.6c,Box,Retail,USA: Oct 14, UK/EU: Oct 14,Normal",10565: ,4.0
Creative Picnic,"$24.99, 14.99€ | ,48.1c, 28.8c,Tub,Retail,USA: Dec 13, UK/EU: Dec 13,Normal",10566: ,4.0
Toddler Build and Boat Fun,"$19.99, 13.99€ | ,111.1c, 77.7c,Box,Retail,USA: Mar 14, UK/EU: Mar 14,Normal",10567: ,4.0
Knight Tournament,"$9.99, 6.99€ | ,62.4c, 43.7c,Box,Retail,USA: Aug 14, UK/EU: Jun 14,Normal",10568: ,4.0
Treasure Attack,"$29.99, 20.99€ | ,65.2c, 45.6c,Box,Retail,USA: May 14, UK/EU: Jun 14,Normal",10569: ,4.0
All-in-One Gift Set,"$14.99, 17.99€ | ,50.0c, 60.0c,Bucket,Retail,USA: Feb 14, UK/EU: Dec 13,Normal",10570: ,4.0
All-in-One-Pink-Box-of-Fun,"$29.99, 29.99€ | ,46.1c, 46.1c,Tub,Retail,USA: Feb 14, UK/EU: Dec 13,Normal",10571: ,4.0
All-in-One-Box-of-Fun,"$29.99, 29.99€ | ,46.1c, 46.1c,Tub,Retail,USA: Feb 14, UK/EU: Dec 13,Normal",10572: ,4.0
Creative Animals,"$14.99, 7.49€ | ,60.0c, 30.0c,Box,Retail,USA: Dec 13, UK/EU: Dec 13,Normal",10573: ,4.0
Creative Ice Cream,"$14.99, 14.99€ | ,62.5c, 62.5c,Box,Retail,USA: Jan 14, UK/EU: Dec 13,Normal",10574: ,4.0
Creative Building Cube,"$29.99 | ,40.0c,Box,Retail,USA: Dec 14, UK/EU: Dec 13,Normal",10575: ,4.0
Zoo Care,"$6.99 | ,77.7c,Box,Retail,USA: Oct 14, UK/EU: Oct 14,Normal",10576: ,4.0
Big Royal Castle,"$59.99, 41.99€ | ,44.4c, 31.1c,Box,Retail,USA: Aug 14, UK/EU: Jun 14,Normal",10577: ,4.0
Clubhouse Cafe,"$12.99, 14.99€ | ,81.2c, 93.7c,Box,Retail,USA: Aug 14, UK/EU: Jun 14,Normal",10579: ,4.0
Deluxe Box of Fun,"$49.99, 44.99€ | ,52.6c, 47.4c,Box,Retail,USA: May 14, UK/EU: Jun 14,Normal",10580: ,4.0
Spider-Man: Spider-Car Pursuit,"$12.99, 12.99€ | ,23.6c, 23.6c,Box,Retail,USA: Feb 14, UK/EU: Mar 14,Normal",10665: ,4.0
Digger,"$9.99 | ,13.3c,Box,Retail,USA: Feb 14, UK/EU: Mar 14,Normal",10666: ,4.0
Construction,"$14.99, 17.99€ | ,9.4c, 11.2c,Bucket,Retail,USA: Feb 14, UK/EU: Mar 14,Normal",10667: ,4.0
The Princess Play Castle,"$14.99, 17.99€ | ,10.0c, 12.0c,Bucket,Retail,USA: Feb 14, UK/EU: Mar 14,Normal",10668: ,4.0
Turtle Lair,"$19.99, 19.99€ | ,18.7c, 18.7c,Box,Retail,USA: May 14, UK/EU: Jun 14,Normal",10669: ,4.0
Fire Emergency,"$19.99, 19.99€ | ,16.3c, 16.3c,Box,Retail - limited,USA: Oct 14, UK/EU: Oct 14,Normal",10671: ,4.0
Batman: Defend the Batcave,"$29.99, 32.99€ | ,20.0c, 22.0c,Box,Retail,USA: Feb 14, UK/EU: Mar 14,Normal",10672: ,4.0
Race Car Rally,"$29.99, 29.99€ | ,8.6c, 8.6c,Tub,Retail,USA: Feb 14, UK/EU: Mar 14,Normal",10673: ,4.0
Pony Farm,"$29.99, 29.99€ | ,9.8c, 9.8c,Tub,Retail,USA: Feb 14, UK/EU: Mar 14,Normal",10674: ,4.0
Police – The Big Escape,"$29.99, 29.99€ | ,20.5c, 20.5c,Box,Retail,USA: Feb 14, UK/EU: Mar 14,Normal",10675: ,4.0
Knights' Castle,"$49.99, 44.99€ | ,10.4c, 9.4c,Box,Retail,USA: May 14, UK/EU: Jun 14,Normal",10676: ,4.0
Creative Building Cube,,10681: ,4.0
Creative Suitcase,"$59.99, 39.99€ | ,6.0c, 4.0c,Box,Retail,USA: Oct 14, UK/EU: Oct 14,Normal",10682: ,4.0
The Eiffel Tower,"$34.99, 34.99€ | ,10.9c, 10.9c,Box,Retail,USA: Jan 14, UK/EU: Dec 13,Normal",21019: ,5.0
Trevi Fountain,"$49.99, 49.99€ | ,6.8c, 6.8c,Box,Retail - limited,USA: Aug 14, UK/EU: Jun 14,Normal",21020: ,5.0
NASA Mars Science Laboratory Curiosity Rover,"$29.99 | ,10.2c,Box,LEGO exclusive,USA: Jan 14, UK/EU: Dec 13,Normal",21104: ,5.0
The End,"$34.99 | ,8.0c,Box,Retail - limited,USA: Jun 14, UK/EU: Jun 14,Normal",21107: ,5.0
Ghostbusters Ecto-1,"$49.99, 49.99€ | ,9.8c, 9.8c,Box,Retail - limited,USA: Jun 14, UK/EU: Jun 14,Normal",21108: ,5.0
Exo Suit,"$34.99, 24.49€ | ,10.9c, 7.6c,Box,Retail - limited,USA: Dec 14, UK/EU: Sep 14,Normal",21109: ,5.0
Research Institute,"$19.99, 19.99€ | ,12.1c, 12.1c,Box,Retail - limited,USA: Aug 14, UK/EU: Aug 14,Normal",21110: ,5.0
The Cave,"$19.99, 19.99€ | ,8.0c, 8.0c,Box,Retail - limited,USA: Nov 14, UK/EU: Nov 14,Normal",21113: ,5.0
The Farm,"$29.99, 29.99€ | ,11.4c, 11.4c,Box,Retail - limited,USA: Nov 14, UK/EU: Nov 14,Normal",21114: ,5.0
The First Night,"$39.99, 39.99€ | ,9.8c, 9.8c,Box,Retail - limited,USA: Nov 14, UK/EU: Nov 14,Normal",21115: ,5.0
Crafting Box,"$49.99, 54.99€ | ,9.7c, 10.6c,Box,Retail - limited,USA: Nov 14, UK/EU: Nov 14,Normal",21116: ,5.0
The Ender Dragon,"$69.99, 69.99€ | ,11.0c, 11.0c,Box,Retail - limited,USA: Nov 14, UK/EU: Nov 14,Normal",21117: ,5.0
The Mine,"$109.99, 99.99€ | ,11.9c, 10.8c,Box,Retail - limited,USA: Nov 14, UK/EU: Nov 14,Normal",21118: ,5.0
Town Master,"$19.99 | ,7.8c,Box,USA: Aug 14,Normal",21204: ,5.0
Battle Towers,"$19.99 | ,9.4c,Box,USA: Aug 14,Normal",21205: ,5.0
Create and Race,"$34.99 | ,15.7c,Box,USA: Aug 14,Normal",21206: ,5.0
Resort Designer,"$19.99 | ,7.6c,Box,USA: Sep 14,Normal",21208: ,5.0
Farm {Random Bag},,30067: ,5.0
Farm - Farmer,,30067: ,5.0
Farm - Calf,,30067: ,5.0
Farm - Goat,,30067: ,5.0
Farm - Cat,,30067: ,5.0
Apple,"$2.20 ,36.7c,Polybag,Retail - limited,Normal",30068: ,5.0
Emma's Flower Stand,"$4.99 ,15.1c,Polybag,Retail - limited,Normal",30112: ,5.0
Stephanie's Bakery Stand,,30113: ,5.0
Andrea's Beach Lounge ,,30114: ,3.0
Jungle Boat,"$4.99 ,16.1c,Polybag,Retail - limited,Normal",30115: ,3.0
Rapunzel's Market Visit,"$3.99 ,10.8c,Polybag,Retail - limited,Normal",30116: ,3.0
Fast Car ,"$3.29 ,5.9c,Polybag,Promotional,Normal",30187: ,3.0
Cute Kitten ,,30188: ,3.0
Transport Plane ,,30189: ,3.0
Snowman,"$3.99 ,6.7c,Polybag,Retail - limited,Normal",30197: ,3.0
Police Helicopter ,,30226: ,3.0
Police Watercraft,"$4.99 ,13.9c,Polybag,Retail - limited,Normal",30227: ,3.0
Police ATV,,30228: ,3.0
Repair Lift ,"$3.49 ,8.7c,Polybag,Retail - limited,Normal",30229: ,3.0
Anakin's Jedi Interceptor,"$4.49 ,10.0c,Polybag,Retail - limited,Normal",30244: ,3.0
Imperial Shuttle,"$3.99 ,7.0c,Polybag,Retail - limited,Normal",30246: ,3.0
ARC-170 Starfighter,"$3.99 ,7.4c,Polybag,Retail - limited,Normal",30247: ,3.0
Gorzan's Walker ,,30262: ,3.0
Spider Crawler,,30263: ,3.0
Frax' Phoenix Flyer,"$3.99 ,12.5c,Polybag,Retail - limited,Normal",30264: ,3.0
Worriz' Fire Bike,"$4.69 ,15.1c,Polybag,Promotional,Normal",30265: ,3.0
Sykor's Ice Cruiser,,30266: ,3.0
Mikey's Mini-Shellraiser,"$4.99 ,10.6c,Polybag,Retail - limited,Normal",30271: ,3.0
The Piece of Resistance ,,30280: ,3.0
Micro Manager Battle ,,30281: ,3.0
Super Secret Police Enforcer ,"$4.99 ,12.5c,Polybag,Retail - limited,Normal",30282: ,3.0
The Batman Tumbler,"$3.99 ,7.0c,Polybag,Retail - limited,Normal",30300: ,3.0
Batwing,"$4.99 ,11.1c,Polybag,Retail - limited,Normal",30301: ,3.0
Spider-Man,"$3.99 ,8.9c,Polybag,Retail - limited,Normal",30302: ,4.0
Arctic Scout,,30310: ,4.0
Red Thunder,"$4.99 | ,7.6c,Box,Retail,USA: Dec 13, UK/EU: Mar 14,Normal",31013: ,4.0
Power Digger,"$4.99, 4.99€ | ,7.8c, 7.8c,Box,Retail,USA: Dec 13, UK/EU: Mar 14,Normal",31014: ,4.0
Emerald Express,"$4.99, 4.99€ | ,8.9c, 8.9c,Box,Retail,USA: Dec 13, UK/EU: Mar 14,Normal",31015: ,4.0
Sunset Speeder,"$12.99, 9.99€ | ,10.9c, 8.4c,Box,Retail,USA: Dec 13, UK/EU: Mar 14,Normal",31017: ,4.0
Highway Cruiser,"$12.99, 9.99€ | ,10.1c, 7.7c,Box,Retail,USA: Dec 13, UK/EU: Mar 14,Normal",31018: ,4.0
Forest Animals,"$19.99, 12.59€ | ,7.3c, 4.6c,Box,Retail,USA: Dec 13, UK/EU: Mar 14,Normal",31019: ,4.0
Twinblade Adventures,"$17.99, 14.99€ | ,8.3c, 6.9c,Box,Retail,USA: Dec 13, UK/EU: Mar 14,Normal",31020: ,4.0
Furry Creatures,"$19.99, 12.59€ | ,7.0c, 4.4c,Box,Retail,USA: Jan 14, UK/EU: Mar 14,Normal",31021: ,4.0
Turbo Quad,"$24.99, 19.99€ | ,13.4c, 10.7c,Box,Retail,USA: Jan 14, UK/EU: Mar 14,Normal",31022: ,4.0
Yellow Racers,"$29.99, 24.99€ | ,9.1c, 7.6c,Box,USA: May 14, UK/EU: Jun 14,Normal",31023: ,4.0
Roaring Power,"$29.99, 29.99€ | ,8.0c, 8.0c,Box,Retail,USA: May 14, UK/EU: Jun 14,Normal",31024: ,4.0
Mountain Hut,"$39.99, 39.99€ | ,7.3c, 7.3c,Box,Retail,USA: Jan 14, UK/EU: Mar 14,Normal",31025: ,4.0
Bike Shop & Cafe,"$89.99, 69.99€ | ,8.8c, 6.8c,Box,USA: May 14, UK/EU: Jun 14,Normal",31026: ,4.0
LEGO Valentine,"$9.99 | ,7.9c,Box,LEGO exclusive,USA: Jan 14, UK/EU: Jan 14,Normal",40085: ,4.0
LEGO Easter,"$9.99 | ,9.4c,Box,LEGO exclusive,USA: Feb 14, UK/EU: Mar 14,Normal",40086: ,4.0
Halloween Bat,"$9.99, 4.99€ | ,6.4c, 3.2c,Box,LEGO exclusive,USA: Oct 14, UK/EU: Sep 14,Normal",40090: ,4.0
Thanksgiving Turkey,"$9.99 | ,8.0c,Box,LEGO exclusive,USA: Oct 14, UK/EU: Oct 14,Normal",40091: ,4.0
Reindeer,"$9.99 | ,7.2c,Box,LEGO exclusive,USA: Oct 14, UK/EU: Oct 14,Normal",40092: ,4.0
