name,price,set_ID,rating
Small house set,,1: ,5.0
Medium house set,,2: ,5.0
Medium house set,,3: ,5.0
Large house set,,4: ,5.0
Mini House and Vehicles,,4: ,5.0
Roadway Base Plate 50X50,"1,$1.99 ,199.0c,Normal",078: ,5.0
4.5V Replacement Motor,,104: ,5.0
Steam Locomotive (Push),,126: ,5.0
4 Car Auto Transport,"65,$4.99 ,7.7c,Box,Retail - limited,Normal",157: ,5.0
Big Model Book,,242: ,5.0
Mini-House with Vehicles,,271: ,5.0
Remote Control Car Set,"271,$14.99 ,5.5c,Box,Normal",311: ,5.0
Remote Control Supplement,"1,$3.99 ,399.0c,Box,Normal",312: ,5.0
Ambulance,,338: ,5.0
House with Mini-Wheel Car,,345: ,5.0
Jumbo Jet,,346: ,5.0
Fire Station,,347: ,5.0
Mini-Wheel Car and Truck Set,"211,$3.99 ,1.9c,Box,Retail,Normal",348: ,5.0
Mini Airport and Vehicle,,367: ,5.0
Building Set ,,512: ,5.0
Building Set ,,513: ,5.0
Ambulance,,600: ,5.0
Tow Truck,,601: ,5.0
Fire Truck,,602: ,5.0
Vintage Car,,603: ,5.0
Fire Truck,,620: ,4.0
Shell Tanker Truck,,621: ,4.0
Baggage Trolley,,622: ,4.0
White Car and Camper,,623: ,4.0
2m Extension Cord for Points,,708: ,4.0
12V Electric Train with 2 Wagons,,722: ,4.0
Diesel Locomotive,,723: ,4.0
12v Transformer,,742: ,4.0
Gears. Motor and Bricks,,800: ,4.0
Gear Set,,801: ,4.0
Gear Supplement,,802: ,4.0
Front-End Loader,,,4.0
Lighting Device Pack with Improved Plugs (The Building Toy),,,4.0
Weetabix Castle,,,4.0
