name,price,set_ID,rating
Castle Minifigures,,15: ,4.0
Mail Van,,105: ,4.0
The Building Book,,226: ,4.0
"Basic Building Set, 3+",,311: ,4.0
"Basic Building Set, 5+",,533: ,4.0
Storage Cabinet,,759: ,4.0
Storage Cabinet,,760: ,4.0
Fabuland Characters,,801: ,4.0
Mosaic Set,,1012: ,4.0
Technic II Powered Machines Set,"278,$80.00 ,28.8c,Normal",1032: ,4.0
Basic Pack,,1051: ,4.0
{Spare Elements},,1052: ,4.0
Community Buildings,,1053: ,4.0
{Spare Elements - Structures},,1084: ,4.0
Trial Pack Duck,,1900: ,4.0
Trial Size Offer,,1901: ,4.0
Basic Building Set with Storage Case,,1932: ,4.0
Basic Set with Storage Case,,1954: ,4.0
Town 3-Pack,,1976: ,4.0
Town Value Pack,,1979: ,4.0
Space Value Pack,,1983: ,4.0
Squirrel Rattle,,2054: ,4.0
Rocking Horse,,2055: ,4.0
"Base Plate, Red","1,$10.00 ,1000.0c,Normal",2305: ,4.0
Supplementary Set,,2307: ,4.0
Supplementary Set,,2309: ,5.0
Basic Set Animal,,2335: ,5.0
Basic Set House,,2345: ,5.0
Basic Set Vehicles,,2355: ,5.0
Basic Set Town,,2375: ,5.0
Deep Sea Diver,,2618: ,5.0
Helicopter,,2619: ,5.0
Tow Truck,,2636: ,5.0
Petrol Station,,2639: ,5.0
Sea Explorer,,2649: ,5.0
Train Points,,2713: ,5.0
Train Bridge,"5,$9.00 ,180.0c,Normal",2717: ,5.0
Percy Pilot,,3630: ,5.0
Paddy Wagon,,3639: ,5.0
Bertie Bulldog (Police Chief) and Constable Bulldog,,3664: ,5.0
Service Station,"52,$20.00 ,38.5c,Normal",3670: ,5.0
Airport,"49,$22.25 ,45.4c,Normal",3671: ,5.0
Tubby and Tuba,,3711: ,5.0
Robby Rabbit,,3712: ,5.0
Mike Monkey,,3713: ,5.0
Constable Clarke,,3789: ,5.0
Wally Walrus,,3791: ,5.0
Supply Wagon,"35,$3.00 ,8.6c,Box,Retail,Normal",6010: ,5.0
Jousting Knights,"37,$5.25 ,14.2c,Box,Retail,Normal",6021: ,5.0
Horse Cart,"42,$5.00 ,11.9c,Box,Retail,Normal",6022: ,5.0
Catapult,"83,$6.00 ,7.2c,Box,Retail,Normal",6030: ,4.0
Blacksmith Shop,"92,$9.25 ,10.1c,Box,Retail,Normal",6040: ,4.0
Siege Tower,"216,$17.50 ,8.1c,Box,Retail,Normal",6061: ,4.0
Knight's Castle,"410,$27.00 ,6.6c,Box,Retail,Normal",6073: ,4.0
King's Castle,"674,$52.75 ,7.8c,Box,Retail,Normal",6080: ,4.0
Castle Figures,,6103: ,4.0
Fire & Rescue Squad,,6366: ,4.0
Semi Truck,,6367: ,4.0
Motorcycle Shop,"171,$17.50 ,10.2c,Box,Retail,Normal",6373: ,4.0
Cargo Center,"553,$43.00 ,7.8c,Box,Retail - limited,Normal",6391: ,4.0
Road Racer,,6605: ,4.0
Fire Truck,,6621: ,4.0
Mailman on Motorcycle,,6622: ,4.0
Construction Workers,,6628: ,4.0
Auto & Tire Repair,,6655: ,4.0
Police Patrol Squad,"77,$6.50 ,8.4c,Box,Retail,Normal",6684: ,4.0
Backhoe,,6686: ,4.0
Car with Camper,,6694: ,4.0
Tanker Truck,,6695: ,4.0
Fuel Tanker,,6696: ,4.0
Surface Rover,"21,$0.99 ,4.7c,Normal",6804: ,4.0
Space Dart I,,6824: ,4.0
Tri-Star Voyager,"69,$4.45 ,6.4c,Normal",6846: ,4.0
Star Patrol Launcher,,6871: ,4.0
Lunar Rocket Launcher,,6881: ,4.0
Uranium Search Vehicle,,6928: ,4.5
Robot Command Center,,6951: ,4.5
Inter-Galactic Command Base,,6971: ,4.5
Universal Set,,8020: ,4.5
Universal Set,,8040: ,4.5
Fork-Lift Truck,,8843: ,4.5
Excavator,,8851: ,4.5
Ideas Book,"$5.00 ,Book",8889: ,4.5
