name,price,set_ID,rating
Rescue plane,,2064: ,4.4
Packer,"$19.99 | ,105.2c,USA: Oct 07, UK/EU: Oct 07,Normal",3288: ,4.4
Muck & Roley in the Sunflower Factory,"$29.99 | ,81.1c,USA: Oct 07, UK/EU: Oct 07,Normal",3289: ,4.4
Salty the Dockyard Diesel,"$12.99 | ,162.4c,Box,Retail,USA: Oct 07, UK/EU: Oct 07,Normal",3352: ,4.4
Spencer and Sir Topham Hatt,"$29.99 | ,66.6c,Box,Retail,USA: Oct 07, UK/EU: Oct 07,Normal",3353: ,4.4
Gordon's Express,"$19.99 | ,153.8c,Box,Retail,USA: Oct 07, UK/EU: Oct 07,Normal",3354: ,4.4
Superstar Figure ,,3573: ,4.4
Red Walker,,3870: ,4.4
White Flyer,,3871: ,4.4
Robo Chopper,,3872: ,4.4
Mini Jet Fighter,,3885: ,4.4
Green Exo Fighter,,3886: ,4.4
Princess and Horse,"$9.99 | ,124.9c,USA: Oct 07, UK/EU: Oct 07,Normal",4825: ,4.4
Princess and Pony Picnic,"$19.99 | ,105.2c,USA: Oct 07, UK/EU: Oct 07,Normal",4826: ,4.4
Princess Royal Stables,"$39.99 | ,81.6c,USA: Feb 08, UK/EU: Oct 07,Normal",4828: ,4.4
Police Boat,"$24.99 | ,92.6c,USA: Mar 08, UK/EU: Oct 07,Normal",4861: ,4.4
Mini Construction,"$4.99 | ,7.3c,Plastic canister,Retail,USA: Oct 07, UK/EU: Oct 07,Normal",4915: ,4.4
Mini Animals,"$4.99 | ,6.5c,Plastic canister,Retail,USA: Oct 07, UK/EU: Nov 07,Normal",4916: ,4.4
Mini Robots,"$4.99 | ,6.5c,Plastic canister,Retail,USA: Oct 07, UK/EU: Oct 07,Normal",4917: ,4.4
Mini Flyers,"$4.99 | ,6.6c,Plastic canister,Retail,USA: Oct 07, UK/EU: Oct 07,Normal",4918: ,4.4
Street Sweeper,,4933: ,4.4
Police Swamp Boat,,4934: ,4.4
Doc & Patient,"$2.99 | ,16.6c,Polybag,Retail - limited,USA: Mar 08,Normal",4936: ,4.4
Life Guard,,4937: ,4.4
Fire 4x4,,4938: ,4.4
Cool Cars,"$12.99 | ,6.3c,Box,Retail,USA: Oct 07, UK/EU: Oct 07,Normal",4939: ,4.5
Fast Flyers,"$19.99 | ,6.4c,Box,Retail,USA: Mar 08,Normal",4953: ,4.5
Model Town House,"$69.99 | ,6.0c,Box,Retail,USA: Oct 07, UK/EU: Oct 07,Normal",4954: ,4.5
Big Rig,"$30.00 | ,5.5c,Box,Retail,USA: Oct 07, UK/EU: Oct 07,Normal",4955: ,4.5
House,"$49.99 | ,6.8c,Box,Retail,USA: Oct 07, UK/EU: Oct 07,Normal",4956: ,4.5
Ferris Wheel,"$69.99 | ,6.6c,Box,Retail,USA: Oct 07, UK/EU: Oct 07,Normal",4957: ,4.5
Monster Dino,"$89.99 | ,11.4c,Box,Retail,USA: Oct 07, UK/EU: Oct 07,Normal",4958: ,4.5
Animals,"$12.99 | ,99.9c,USA: Oct 07, UK/EU: Oct 07,Normal",4972: ,4.5
Harvester,"$24.99 | ,227.2c,USA: Oct 07, UK/EU: Oct 07,Normal",4973: ,4.5
Horse Stables,"$39.99 | ,111.1c,USA: Oct 07, UK/EU: Oct 07,Normal",4974: ,4.5
Farm,"$49.99 | ,119.0c,USA: Oct 07, UK/EU: Oct 07,Normal",4975: ,4.5
Cement Mixer,"$16.99 | ,154.5c,USA: Oct 07, UK/EU: Oct 07,Normal",4976: ,4.5
Fire Truck,"$29.99 | ,115.3c,USA: Oct 07, UK/EU: Oct 07,Normal",4977: ,4.5
Road Sweeper,"$14.99 | ,136.3c,USA: Oct 07, UK/EU: Oct 07,Normal",4978: ,4.5
Ambulance,"$14.99 | ,249.8c,USA: Oct 07, UK/EU: Oct 07,Normal",4979: ,4.5
The Chum Bucket,"$34.99 | ,10.4c,Box,Retail,USA: Oct 07, UK/EU: Oct 07,Normal",4981: ,4.5
Mrs. Puff's Boating School,"$49.99 | ,12.7c,Box,Retail,USA: Oct 07, UK/EU: Oct 07,Normal",4982: ,4.5
Digger,"$22.99 | ,121.0c,USA: Nov 07, UK/EU: Oct 07,Normal",4986: ,4.5
Gravel Pit,"$39.99 | ,100.0c,USA: Oct 07, UK/EU: Oct 07,Normal",4987: ,4.5
Construction Site,"$59.99 | ,71.4c,Box,Retail,USA: Oct 07, UK/EU: Oct 07,Normal",4988: ,4.5
Police Helicopter,,4991: ,4.5
Fire Boat,,4992: ,4.5
Hogwarts Castle,"$89.99 | ,9.5c,Box,Retail,USA: Oct 07, UK/EU: Oct 07,Normal",5378: ,4.5
Duplo Large Brick Box,"71,$29.99 | ,42.2c,USA: Oct 07, UK/EU: Mar 08,Normal",5380: ,4.5
Duplo Brick Box,"$14.99 | ,45.4c,USA: Oct 07, UK/EU: Oct 07,Normal",5416: ,4.5
Duplo Deluxe Brick Box,"$49.99 | ,52.6c,USA: Oct 07, UK/EU: Oct 07,Normal",5417: ,4.0
Build a Farm,"$29.99 | ,28.0c,USA: Oct 07, UK/EU: Oct 07,Normal",5419: ,4.0
LEGO XXL 2000 Barrel,,5491: ,4.0
Emergency Rescue Box,"$30.00 ,4.3c,Normal",5493: ,4.0
Fun Building with LEGO Duplo,,5514: ,4.0
Fun Building with LEGO Bricks,"$11.99 | ,5.0c,USA: Dec 07,Normal",5515: ,4.0
XXL Cannister,,5516: ,4.0
Duplo Creative Building,,5518: ,4.0
LEGO Creative Building,"$25.00 | ,5.2c,UK/EU: Oct 07,Normal",5519: ,4.0
Duplo Canister Green,,5527: ,4.0
LEGO Canister Red,,5528: ,4.0
LEGO DUPLO Fun Creations,,5536: ,4.0
LEGO Cool Creations,,5537: ,4.0
LEGO World of Bricks,,6112: ,4.0
LEGO Creator 200 Plus 40 Special Elements,,6114: ,4.0
LEGO Box,,6116: ,4.0
LEGO Brick Box,"$19.99 | ,9.0c,USA: Oct 07, UK/EU: Oct 07,Normal",6161: ,4.0
Building Fun with LEGO,"$9.99 | ,3.5c,Box,Retail,USA: Oct 07, UK/EU: Oct 07,Normal",6162: ,4.0
A World of LEGO Mosaic,"$19.99 | ,3.3c,Box,Retail,USA: Oct 07, UK/EU: Oct 07,Normal",6163: ,4.0
LEGO Rescue Building Set,"$24.99 | ,4.8c,USA: Oct 07, UK/EU: Oct 07,Normal",6164: ,4.0
LEGO Large Brick Box,"$29.99 | ,7.4c,USA: Oct 07, UK/EU: Oct 07,Normal",6166: ,4.0
LEGO Deluxe Brick Box,"$49.99 | ,7.1c,USA: Oct 07, UK/EU: Oct 07,Normal",6167: ,4.0
Good Guy 07,,6944: ,4.0
Bad Guy 07,,6945: ,4.0
Squid Launcher Function,,6946: ,4.0
The Final Joust,"$7.99 | ,12.9c,Box,USA: Oct 07, UK/EU: Oct 07,Normal",7009: ,4.6
Skeleton Ship Attack,"$69.99 | ,11.1c,Box,USA: Oct 07, UK/EU: Oct 07,Normal",7029: ,4.6
Dwarves' Mine,"$59.99 | ,10.4c,Box,USA: Oct 07, UK/EU: Jan 08,Normal",7036: ,4.6
Crossbow Attack,"$5.99 | ,11.1c,Box,USA: Oct 07, UK/EU: Oct 07,Normal",7090: ,4.6
Knight's Catapult Defense,"$9.99 | ,8.1c,Box,USA: Oct 07, UK/EU: Nov 07,Normal",7091: ,4.6
Skeletons' Prison Carriage,"$19.99 | ,10.4c,Box,USA: Oct 07, UK/EU: Oct 07,Normal",7092: ,4.6
Skeleton Tower,"$49.99 | ,12.6c,Box,USA: Oct 07, UK/EU: Oct 07,Normal",7093: ,4.6
King's Castle Siege,"$99.99 | ,10.3c,Box,USA: Oct 07, UK/EU: Oct 07,Normal",7094: ,4.6
Banana,,7172: ,4.6
Pear,,7173: ,4.6
Apple,,7174: ,4.6
Grapes,,7175: ,4.6
Watermelon,,7176: ,4.6
Orange,,7177: ,4.6
Chef,,7178: ,4.6
Le Mans,,7452: ,4.6
Off Road,,7453: ,4.6
The Skating Princess,"$9.99 | ,38.4c,USA: Oct 07, UK/EU: Oct 07,Normal",7580: ,4.6
Winter Royal Stables,"$49.99 | ,58.1c,USA: Oct 07, UK/EU: Oct 07,Normal",7581: ,4.6
Royal Summer Palace,"$59.99 | ,35.9c,USA: Oct 07, UK/EU: Oct 07,Normal",7582: ,4.6
Advent Calendar,"$19.99 | ,9.3c,USA: Oct 07, UK/EU: Oct 07,Normal",7600: ,4.6
Droids Battle Pack,"$9.99 | ,9.8c,Box,USA: Oct 07, UK/EU: Oct 07,Normal",7654: ,4.6
Clone Troopers Battle Pack,"$9.99 | ,17.2c,Box,USA: Oct 07, UK/EU: Oct 07,Normal",7655: ,4.6
General Grievous Starfighter,"$19.99 | ,8.6c,Box,USA: Oct 07, UK/EU: Oct 07,Normal",7656: ,4.6
AT-ST,"$19.99 | ,8.2c,Box,USA: Oct 07, UK/EU: Oct 07,Normal",7657: ,4.6
Y-wing Fighter,"$39.99 | ,8.8c,Box,USA: Oct 07, UK/EU: Oct 07,Normal",7658: ,4.5
Imperial Landing Craft,"$49.99 | ,10.6c,Box,USA: Oct 07, UK/EU: Oct 07,Normal",7659: ,4.5
Naboo N-1 Starfighter with Vulture Droid,"$29.99 | ,10.7c,Box,USA: Oct 07, UK/EU: Oct 07,Normal",7660: ,4.5
