name,price,set_ID,rating
Mini-Wheel Model Maker No. 1 (Kraft Velveeta),,1: ,
Mini-Wheel Model Maker No. 2 (Kraft Velveeta),,2: ,
Mini-Wheel Model Maker No. 3 (Kraft Velveeta),"65,$2.00 ,3.1c,Box,Promotional,Normal",3: ,
Mini-Wheel Model Maker Set 4 (Kraft Velveeta),"$4.75 ,Box,Promotional,Normal",4: ,
Large house set,,5: ,
Mini-Wheel Model Maker Set 5 (Kraft Velveeta),"$6.75 ,Box,Promotional,Normal",5: ,
Promotional Basic Set No. 6 (Kraft Velveeta),"77,$1.00 ,1.3c,Box,Promotional,Normal",6: ,
Promotional Basic Set No. 7 (Kraft Velveeta),"159,$2.00 ,1.3c,Box,Promotional,Normal",7: ,
Promotional Basic Set No. 8 (Kraft Velveeta),"301,$5.00 ,1.7c,Box,Promotional,Normal",8: ,
Promotional Basic Set No. 9 (Kraft Velveeta),"550,$8.00 ,1.5c,Box,Promotional,Normal",9: ,
Promotional Basic Set No. 10 (Kraft Velveeta),"101,$2.00 ,2.0c,Box,Promotional,Normal",10: ,
Truck,,21: ,
Car,,22: ,
Delivery truck,,23: ,
Train,,24: ,
Imagination Set 1,"290,$4.95 ,1.7c,Box,Normal",101: ,
Imagination Set 2,"426,$6.95 ,1.6c,Box,Retail,Normal",102: ,
Imagination Set 3,"576,$9.95 ,1.7c,Box,Retail,Normal",103: ,
Imagination Set 4,"737,$12.95 ,1.8c,Box,Retail,Normal",104: ,
Imagination Set 5,"917,$14.95 ,1.6c,Box,Retail,Normal",105: ,
4.5V Reversible Power Unit,"16,$10.95 ,68.4c,Box,Retail,Normal",107: ,
Vehicle Accessory Pack,,110: ,
Building Accessory Pack,,111: ,
Lego Giant Base Plate,,112: ,
Mobile Crane (Train Base),,128: ,
Mobile Crane (Plate Base),,128: ,4.0
Vehicle Extra Parts Kit,,166: ,4.0
House and Garden Extra Parts Kit,,167: ,4.0
Factory with Conveyor Belt,"248,$8.87 ,3.6c,Box,Normal",248: ,4.0
Dolls Living Room,,260: ,4.0
Dolls Kitchen,,261: ,4.0
Garage with Automatic Doors,,348: ,4.0
Swiss Chalet,,349: ,4.0
Mini-Wheel Construction Set,,349: ,4.0
Spanish Villa,,350: ,4.0
Gravel Depot,,351: ,4.0
Ambulance,,360: ,4.0
Tow Truck Kit,,361: ,4.0
Delivery Van,,362: ,4.0
Antique Car Kit,,363: ,4.0
Tipper Truck,"48,$14.00 ,29.2c,Box,Retail,Normal",371: ,4.0
Tow Truck,,372: ,4.0
Ambulance,,373: ,4.0
Fire Engine,,374: ,4.0
Refrigerator Truck and Trailer,,375: ,4.0
Low loader with Excavator,,376: ,4.0
Crane and Float Truck,,377: ,4.0
Village Set,,380: ,4.0
Excavator,,604: ,4.0
Taxi,,605: ,4.0
Kiosk,,608: ,3.0
Diplomat Set,,630: ,3.0
Fire Truck,,640: ,3.0
Double Excavator,,642: ,3.0
Mobile Crane,,643: ,3.0
Double Tanker,,644: ,3.0
Milk Truck with Trailer,,645: ,3.0
Mobile Site Office,,646: ,3.0
Lorry With Girders,,647: ,3.0
Service Station,,648: ,3.0
Low-Loader with Crane,,680: ,3.0
Low loader with 4 wheel excavator,,681: ,3.0
Low-Loader and Tractor,,682: ,3.0
Articulated Lorry,,683: ,3.0
Bulk Assortment Set,,695: ,3.0
"2 Large Baseplates, Red/Blue","2,$2.10 ,105.0c,Normal",795: ,3.0
"2 Large Baseplates, Green/Yellow","2,$2.10 ,105.0c,Normal",796: ,3.0
"2 Large Baseplates, Grey/White",,797: ,3.0
"2 Medium Baseplates, Green","2,$3.40 ,170.0c,Normal",798: ,3.0
Trees and Signs (1971 version with granulated trees and 4 bricks),,990: ,3.0
Thinking with LEGO,,16197: ,3.0
Holdall Storage Bag,,,3.0
Del Monte Building Kit,,,3.0
857 Piece Basic Set,"857,$9.99 ,1.2c,Box,Other",,3.0
920 Piece Motorized Basic Set,"920,$13.99 ,1.5c,Box,Other",,3.0
1252 Piece Motorized Basic Set,"1252,$19.99 ,1.6c,Box,Other",,
1081 Piece Basic Set,"1081,$12.99 ,1.2c,Box,Other",,
1241 Piece Basic Set,"1241,$16.99 ,1.4c,Box,Other",,
