name,price,set_ID,rating
Heart,,2008: ,5.0
In-flight Helicopter and Raft,,2230: ,5.0
The Bikini Bottom Express,"$19.99 | ,9.5c,Box,Retail,USA: Dec 07, UK/EU: May 08,Normal",3830: ,5.0
Rocket Ride,"$29.99 | ,10.7c,Box,Retail,USA: Dec 07, UK/EU: May 08,Normal",3831: ,5.0
The Emergency Room,"$29.99 | ,12.7c,Box,Retail,USA: Aug 08, UK/EU: Jul 08,Normal",3832: ,5.0
Coast Guard Platform,"$49.99 | ,10.7c,Box,Retail,USA: Oct 08, UK/EU: Jul 08,Normal",4210: ,5.0
Mini Trains,"$4.99 | ,6.8c,Canister,Retail,USA: Dec 07, UK/EU: Jan 08,Normal",4837: ,5.0
Mini Vehicles,"$4.99 | ,6.3c,Canister,Retail,USA: Dec 07, UK/EU: Jan 08,Normal",4838: ,5.0
Ambush,"$16.99 | ,113.3c,USA: Jun 08, UK/EU: May 08,Normal",4862: ,5.0
Sentry & Catapult,"$24.99 | ,61.0c,USA: Jul 08, UK/EU: May 08,Normal",4863: ,5.0
Castle,"$79.99 | ,69.6c,USA: May 08, UK/EU: May 08,Normal",4864: ,5.0
Police Trike,,4897: ,5.0
Coast Guard Boat,,4898: ,5.0
Fire Helicopter,,4900: ,5.0
Cool Convertible,"$49.99 | ,7.7c,Box,Retail,USA: May 08, UK/EU: Jun 08,Normal",4993: ,5.0
Fierce Creatures,"$12.99 | ,6.7c,Box,Retail,USA: Dec 07, UK/EU: Jan 08,Normal",4994: ,5.0
Cargo Copter,"$19.99 | ,7.3c,Box,Retail,USA: Dec 07, UK/EU: Jan 08,Normal",4995: ,5.0
Beach House,"$34.99 | ,6.7c,Box,Retail,USA: Dec 07, UK/EU: Jan 08,Normal",4996: ,5.0
Transport Ferry,"$69.99 | ,5.5c,Box,Retail,USA: Jun 08, UK/EU: Jun 08,Normal",4997: ,5.0
Stegosaurus,"$49.99 | ,6.8c,Box,Retail,USA: May 08, UK/EU: Jun 08,Normal",4998: ,5.0
Vestas Wind Turbine,,4999: ,5.0
Skeleton Chariot,,5372: ,5.0
Knight & Catapult,,5373: ,5.0
Large Brick Box - Green Plate Version,,5380: ,5.0
Golden Anniversary Set,"$39.99 | ,5.7c,Box,Retail,USA: May 08, UK/EU: May 08,Normal",5522: ,5.0
Percy at the Sheds,"$19.99 | ,58.8c,Box,Retail,USA: Jun 08, UK/EU: May 08,Normal",5543: ,4.0
Thomas Starter Set,"$49.99 | ,61.0c,Box,Retail,USA: Jun 08, UK/EU: May 08,Normal",5544: ,4.0
LEGO DUPLO Build & Play,"$44.99 | ,45.0c,USA: Jun 08, UK/EU: Jul 08,Normal",5572: ,4.0
LEGO Build & Play,"$44.99 | ,7.0c,Tub,Retail,USA: Jun 08, UK/EU: Aug 08,Normal",5573: ,4.0
Basic Bricks,"$12.99 | ,4.6c,Box,Retail,USA: Feb 08, UK/EU: Feb 08,Normal",5574: ,4.0
Basic Bricks - Medium,"$14.99 | ,33.3c,USA: Feb 08, UK/EU: Jan 08,Normal",5575: ,4.0
Basic Bricks - Medium,,5576: ,4.0
Basic Bricks - Large,"$16.99 | ,26.1c,USA: Feb 08, UK/EU: Jan 08,Normal",5577: ,4.0
Basic Bricks - Large,"$19.99 | ,4.0c,Box,Retail,USA: Feb 08, UK/EU: Jan 08,Normal",5578: ,4.0
Ultimate LEGO Town Building Set,"$49.99 | ,7.3c,Tub,Retail,USA: Jun 08, UK/EU: May 08,Normal",5582: ,4.0
Fun with Wheels,"$29.99 | ,38.4c,USA: Mar 08, UK/EU: Jan 08,Normal",5583: ,4.0
Fun with Wheels,"$29.99 | ,4.6c,Box,Retail,USA: Feb 08, UK/EU: Jan 08,Normal",5584: ,4.0
Pink Brick Box,"$19.99 | ,9.3c,Tub,Retail,USA: Dec 07, UK/EU: Jan 08,Normal",5585: ,4.0
Circus,"$49.99 | ,82.0c,USA: Jun 08, UK/EU: May 08,Normal",5593: ,4.0
