name,price,set_ID,rating
FLL Challenge 2013 Nature's Fury,,9664: ,4.0
Palace Cinema,"$149.99, 139.99€ | ,6.8c, 6.4c,Box,Retail - limited,USA: Mar 13, UK/EU: Mar 13,Normal",10232: ,4.0
Horizon Express,"$129.99 | ,9.6c,Box,Retail - limited,USA: Dec 12, UK/EU: Jan 13,Normal",10233: ,4.0
Sydney Opera House,"$319.99, 279.99€ | ,10.7c, 9.4c,Box,Retail - limited,USA: Sep 13, UK/EU: Sep 13,Normal",10234: ,4.0
Winter Village Market,"$99.99 | ,7.9c,Box,Retail - limited,USA: Oct 13, UK/EU: Oct 13,Normal",10235: ,4.0
Ewok Village,"$249.99, 249.99€ | ,12.6c, 12.6c,Box,LEGO exclusive,USA: Sep 13, UK/EU: Sep 13,Normal",10236: ,4.0
Tower of Orthanc,"$199.99, 199.99€ | ,8.5c, 8.5c,Box,LEGO exclusive,USA: Jul 13, UK/EU: Jul 13,Normal",10237: ,4.0
Red Five X-wing Starfighter,"$199.99, 199.99€ | ,12.8c, 12.8c,Box,LEGO exclusive,USA: May 13, UK/EU: May 13,Normal",10240: ,4.0
Year of the Snake,,10250: ,4.0
Horse Stable,"$29.99, 20.99€ | ,68.2c, 47.7c,Box,Retail,USA: Aug 14, UK/EU: Aug 13,Normal",10500: ,4.0
Zoo Friends,"$4.99 | ,99.8c,Box,Retail,USA: Dec 12, UK/EU: Aug 13,Normal",10501: ,4.0
Zoo Bus,"$29.99 | ,157.8c,Box,Retail,USA: Dec 12, UK/EU: Aug 13,Normal",10502: ,4.0
Circus Show,"$14.99 | ,60.0c,Box,Retail,USA: Dec 12, UK/EU: Aug 13,Normal",10503: ,4.0
My First Circus,"$34.99 | ,56.4c,Box,Retail,USA: Dec 12, UK/EU: Aug 13,Normal",10504: ,4.0
Play House,"$59.99, 59.99€ | ,72.3c, 72.3c,Box,Retail,USA: Aug 14, UK/EU: Aug 13,Normal",10505: ,4.0
Train Accessory Set,"$19.99, 19.99€ | ,83.3c, 83.3c,Box,Retail,USA: May 13, UK/EU: Jun 13,Normal",10506: ,4.0
My First Train Set,"$44.99, 49.99€ | ,86.5c, 96.1c,Box,Retail,USA: Aug 13, UK/EU: Jun 13,Normal",10507: ,4.0
Deluxe Train Set,"$109.99, 119.99€ | ,82.1c, 89.5c,Box,Retail,USA: Aug 13, UK/EU: Jun 13,Normal",10508: ,4.0
Dusty and Chug,"$14.99 | ,93.7c,Box,Retail,USA: Aug 13, UK/EU: Jul 13,Normal",10509: ,4.0
Ripslinger's Air Race,"$24.99, 20.99€ | ,62.5c, 52.5c,Box,Retail,USA: Aug 13, UK/EU: Jul 13,Normal",10510: ,4.0
Skipper's Flight School,"$39.99 | ,75.5c,Box,Retail,USA: Aug 13, UK/EU: Jul 13,Normal",10511: ,4.0
Jake's Treasure Hunt,"$14.99 | ,68.1c,Box,Retail,USA: Jun 13, UK/EU: Jul 13,Normal",10512: ,4.0
Never Land Hideout,"$24.99 | ,67.5c,Box,Retail,USA: Jun 13, UK/EU: Jul 13,Normal",10513: ,4.0
Jake's Pirate Ship Bucky,"$39.99, 49.99€ | ,71.4c, 89.3c,Box,Retail,USA: Jun 13, UK/EU: Jul 13,Normal",10514: ,4.0
Ariel's Undersea Castle,"$29.99 | ,76.9c,Box,Retail,USA: Dec 12, UK/EU: Jan 13,Normal",10515: ,4.0
Ariel's Magical Boat Ride,"$14.99 | ,50.0c,Box,Retail,USA: Dec 12, UK/EU: Jan 13,Normal",10516: ,4.0
My First Garden,"$12.99 | ,34.2c,Box,Retail,USA: Dec 12, UK/EU: Jan 13,Normal",10517: ,4.0
My First Construction Site,"$19.99, 19.99€ | ,46.5c, 46.5c,Box,Retail,USA: Dec 12, UK/EU: Jan 13,Normal",10518: ,4.0
Garbage Truck,"$19.99 | ,124.9c,Box,Retail - limited,USA: May 14, UK/EU: Jan 13,Normal",10519: ,4.0
Big Front Loader,"$19.99 | ,166.6c,Box,Retail,USA: May 14, UK/EU: Jan 13,Normal",10520: ,4.0
Circus Transport,"$19.99 | ,222.1c,Box,Retail,USA: Dec 12, UK/EU: Jan 13,Normal",10550: ,4.0
Creative Cars,"$19.99, 14.99€ | ,50.0c, 37.5c,Box,Retail,USA: Dec 12, UK/EU: Jan 13,Normal",10552: ,4.0
Toddler Build and Play Cubes,"$12.99 | ,76.4c,Box,Retail,USA: Dec 12, UK/EU: Jan 13,Normal",10553: ,4.0
Toddler Build and Pull Along,"$14.99, 13.99€ | ,99.9c, 93.3c,Box,Retail,USA: Dec 12, UK/EU: Jan 13,Normal",10554: ,4.0
Creative Bucket,"$29.99 | ,46.1c,Bucket,Retail,USA: Dec 12, UK/EU: Jan 13,Normal",10555: ,4.0
Creative Chest,"$44.99 | ,42.4c,Tub,Retail,USA: May 13, UK/EU: Jun 13,Normal",10556: ,4.0
Giant Tower,"$59.99 | ,30.0c,Canister,Retail,USA: May 13, UK/EU: Jun 13,Normal",10557: ,4.0
Number Train,"$19.99, 19.99€ | ,64.5c, 64.5c,Box,Retail,USA: Jan 13, UK/EU: Jan 13,Normal",10558: ,4.0
A Fairy Tale,"$12.99 | ,86.6c,Blister pack,Retail,USA: Aug 13, UK/EU: Jul 13,Normal",10559: ,4.0
Peekaboo Jungle,"$12.99 | ,99.9c,Blister pack,Retail,USA: Aug 13, UK/EU: Jul 13,Normal",10560: ,4.0
Toddler Starter Building Set,"$19.99 | ,54.0c,Box,Retail,USA: Dec 12, UK/EU: Jan 13,Normal",10561: ,4.0
LEGO Monster Trucks,"$19.99 | ,10.1c,Box,Retail,USA: Dec 12, UK/EU: Jan 13,Normal",10655: ,4.0
My First LEGO Princess,"$9.99 | ,11.4c,Box,Retail,USA: Dec 12, UK/EU: Jan 13,Normal",10656: ,4.0
My First LEGO Set,"$14.99 | ,10.1c,Box,Retail,USA: Dec 12, UK/EU: Jan 13,Normal",10657: ,4.0
Suitcase,"$24.99, 12.49€ | ,17.1c, 8.6c,Other,Retail,USA: Dec 12, UK/EU: Jan 13,Normal",10659: ,4.0
Pink Suitcase,"$24.99 | ,16.5c,Other,Retail,USA: Dec 12, UK/EU: Jan 13,Normal",10660: ,4.0
My First LEGO Fire Station,"$9.99 | ,11.1c,Box,Retail,USA: Dec 12, UK/EU: Jan 13,Normal",10661: ,4.0
LEGO Creative Bucket,"$29.99 | ,4.9c,Bucket,Retail,USA: Dec 12, UK/EU: Jan 13,Normal",10662: ,4.0
Creative Chest,,10663: ,4.0
Creative Tower,,10664: ,4.0
Batman: Arkham Asylum Breakout,"$159.99 | ,9.9c,Box,LEGO exclusive,USA: Dec 12, UK/EU: Dec 12,Normal",10937: ,4.8
Brickmaster City parts,,11900: ,4.8
Brickmaster Ninjago parts,,11901: ,4.8
Brickmaster Friends: Treasure Hunt in Heartlake City parts,,11902: ,4.8
Brickmaster Ninjago: Fight the Power of the Snakes parts,,11903: ,4.8
Brickmaster Legends of Chima: The Quest for Chi parts,,11904: ,4.8
Brickmaster Star Wars: Battle for the Stolen Crystals parts,,11905: ,4.8
Time Machine,,20209: ,4.8
World Architecture,,20210: ,4.8
Inventor's Lab,,20211: ,4.8
Adventure Designer,"$79.99 | ,12.5c,Box,LEGO exclusive,USA: Jun 13,Normal",20214: ,4.8
Invention Designer,"$79.99 | ,11.9c,Box,LEGO exclusive,USA: Jun 13,Normal",20215: ,4.8
Robot & Micro Designer,"$49.99 | ,13.1c,Box,LEGO exclusive,USA: Jun 13,Normal",20216: ,4.8
Action Designer,"$79.99 | ,13.9c,Box,LEGO exclusive,USA: Jun 13,Normal",20217: ,4.8
The Leaning Tower of Pisa,"$34.99, 34.99€ | ,10.1c, 10.1c,Box,Retail - limited,USA: Jun 13, UK/EU: May 13,Normal",21015: ,4.8
Imperial Hotel,"$129.99, 119.99€ | ,10.9c, 10.1c,Box,LEGO exclusive,USA: Mar 13, UK/EU: Mar 13,Normal",21017: ,4.8
United Nations Headquarters,"$49.99, 49.99€ | ,8.4c, 8.4c,Box,LEGO exclusive,USA: Oct 13, UK/EU: Oct 13,Normal",21018: ,4.8
Marina Bay Sands,,21021: ,4.8
Architecture Studio,"$159.99, 159.99€ | ,13.2c, 13.2c,Box,Retail - limited,USA: Aug 13, UK/EU: Aug 14,Normal",21050: ,4.8
The DeLorean Time Machine,"$34.99 | ,8.7c,Box,LEGO exclusive,USA: Aug 13, UK/EU: Aug 13,Normal",21103: ,4.8
The Village,"$34.99 | ,7.5c,Box,USA: Sep 13, UK/EU: Sep 13,Normal",21105: ,4.8
The Nether,"$34.99 | ,7.5c,Box,USA: Sep 13, UK/EU: Sep 13,Normal",21106: ,4.8
Circus {Random Bag},,30066: ,4.8
Circus - Lion Tamer,,30066: ,4.8
Circus - Lion,,30066: ,4.8
Circus - Girl,,30066: ,3.5
Circus - Clown,,30066: ,3.5
Circus - Rabbit,,30066: ,3.5
Ice Cream Stand,"$4.99 ,14.7c,Polybag,Retail - limited,Normal",30106: ,3.5
