name,price,set_ID,rating
Gears,"43,$4.95 ,11.5c,Box,Retail,Normal",001: ,
4.5V Samsonite Gears Motor Set,"3,$4.95 ,165.0c,Box,Normal",002: ,
Basic Building Set in Cardboard,,005: ,
Basic Building Set in Cardboard,,010: ,
Basic Building Set in Cardboard,,020: ,
Doll Furniture,,022: ,
Basic Building Set in Cardboard,,030: ,
Basic Building Set in Cardboard,,060: ,
Educational Box - Empty,,90: ,
Educational Set 1 (Terapi I),,91: ,
Educational Set 2 (Therapy II),,92: ,
Educational Set 3 (Therapy III),,93: ,
Truck with Trailer,,319: ,
Airplane,,320: ,
Clowns,,321: ,
Small Cottage,,326: ,
38 Slimbricks Assorted Sizes (The Building Toy),,409: ,
38 Slimbricks Assorted Sizes,,509: ,
Tiles,,510: ,
1:87 Citro+½n DS 19,,603: ,
1:87 Fiat 1800,,605: ,
1:87 VW Samba Bus,,607: ,
Super Wheel Toy Set (long box version),,610: ,
Super Wheel Toy Set (tall box version),"$9.95 ,Box,Retail,Normal",610: ,
1:87 Opel Rekord,,662: ,
1:87 12 Cars,,698: ,
1:87 8 Trucks,,699: ,
Giant Base Plate,,799: ,
Super Wheel Toy Set - Sears Exclusive,,1610: ,
Assorted Bevelled Bricks,"34,$0.50 ,1.5c,Box,Retail,Other",,
Large Base Plates,,,
