,decade,rgb,quantity
261,2000s,BDC6AD,0.009991673605328892
262,2000s,C1DFF0,0.08918493847719493
263,2000s,C2DAB8,0.005550929780738274
264,2000s,C7D23C,0.020723471181422887
265,2000s,C870A0,0.24868165417707466
266,2000s,C91A09,9.920991766120824
267,2000s,C9CAE2,0.005920991766120825
268,2000s,CD6298,0.009621611619946341
269,2000s,CFE2F7,0.19613285225275234
270,2000s,D09168,0.02812471088907392
271,2000s,D4D5C9,0.031825330742899435
272,2000s,D67572,0.03071514478675178
273,2000s,D9D9D9,0.0007401239707651032
274,2000s,D9E4A7,0.029234896845221573
275,2000s,DAB000,0.00703117772226848
276,2000s,DBAC34,0.05735960773429549
277,2000s,DCBC81,0.008881487649181239
278,2000s,DF6695,0.47256915533351834
279,2000s,E0E0E0,0.13433250069386624
280,2000s,E4ADC8,0.2016837820334906
281,2000s,E4CD9E,1.9905634193727448
282,2000s,E6E3DA,0.007401239707651032
283,2000s,E6E3E0,0.04366731427514109
284,2000s,F08F1C,0.32454436118049773
285,2000s,F2705E,0.005180867795355722
286,2000s,F2CD37,7.146266999722454
287,2000s,F2F3F2,0.01406235544453696
288,2000s,F3CF9B,0.0011101859561476548
289,2000s,F5CD2F,0.541400684614673
290,2000s,F6D7B3,0.15579609584605422
291,2000s,F785B1,0.0007401239707651032
292,2000s,F8BB3D,0.13248219076695347
293,2000s,F8F184,0.4747895272458137
294,2000s,F9BA61,0.008881487649181239
295,2000s,FA9C1C,0.0229438430937182
296,2000s,FBE696,0.035896012582107506
297,2000s,FBE890,0.0007401239707651032
298,2000s,FC97AC,0.1787399389397724
299,2000s,FCB76D,0.0062910537515033765
300,2000s,FCFCFC,1.082801369229346
301,2000s,FE8A18,1.3288925895087427
302,2000s,FEBABD,0.004810805809973171
303,2000s,FECCCF,0.0022203719122953097
304,2000s,FF800D,0.570265519474512
305,2000s,FFA70B,0.07808307891571838
306,2000s,FFF03A,0.015542603386067166
307,2000s,FFFFFF,13.201591266537145
308,2010s,0020A0,0.07669005262884741
309,2010s,0033B2,4.051458219073771e-05
310,2010s,0055BF,1.8714131174305846
311,2010s,008F9B,0.20568037940771813
312,2010s,05131D,24.78979515462613
313,2010s,078BC9,0.6973491430416346
314,2010s,0A3463,1.7381120391066194
315,2010s,184632,0.792708315143974
316,2010s,2032B0,4.051458219073771e-06
317,2010s,237841,1.1147384716870528
318,2010s,352100,1.117991792636969
319,2010s,36AEBF,0.399814102891076
320,2010s,3F3691,1.341012413222323
321,2010s,4B9F4A,0.8414959750180604
322,2010s,4C61DB,2.4308749314442625e-05
323,2010s,575857,1.082902113001571
324,2010s,582A12,3.493661554388132
325,2010s,583927,4.051458219073771e-05
326,2010s,5A93DB,1.2267653429026615
327,2010s,5AC4DA,0.00018636707807739345
328,2010s,6074A1,0.6878565764343448
329,2010s,635F52,0.17647341710641531
330,2010s,68BCC5,0.00010128645547684428
331,2010s,6C6E68,1.971828509390328
332,2010s,6D6E5C,4.051458219073771e-06
333,2010s,720E0F,1.2760837438034467
334,2010s,73DCA1,8.102916438147542e-06
335,2010s,7C503A,2.4308749314442625e-05
336,2010s,81007B,1.2154374657221313e-05
337,2010s,84B68D,0.05452857617051388
338,2010s,898788,1.7519518203829754
339,2010s,923978,0.33640067884613334
340,2010s,958A73,0.8791218674985986
341,2010s,96709F,8.102916438147542e-06
342,2010s,9B9A5A,0.3112006087234945
343,2010s,9BA19D,3.241166575259017e-05
344,2010s,9CA3A8,0.045582956422799
345,2010s,9FC3E9,0.8014594648971733
346,2010s,A0A5A9,2.8088233143269976
347,2010s,A0BCAC,0.7459099212554529
348,2010s,A5A5CB,0.024434344519233913
349,2010s,A5A9B4,0.11532070674771581
350,2010s,A95500,0.7825756181380705
351,2010s,AA7F2E,1.7354218708491544
352,2010s,AC78BA,0.7135792846672442
353,2010s,ADC3C0,0.393826047643285
354,2010s,AE7A59,0.02243292415901147
355,2010s,AEEFEC,0.42300059827883524
356,2010s,B3D7D1,9.318353903869673e-05
357,2010s,B48455,4.051458219073771e-06
358,2010s,B4D2E3,4.051458219073771e-06
359,2010s,BBA53D,0.15816892887264003
360,2010s,BBE90B,1.3056350800533707
361,2010s,BDC6AD,8.102916438147542e-06
362,2010s,C0F500,3.646312397166394e-05
363,2010s,C2DAB8,4.051458219073771e-06
364,2010s,C870A0,1.154787136182597
365,2010s,C91A09,4.2611779023259055
366,2010s,CC702A,1.7656416977052256
367,2010s,CD6298,8.102916438147542e-06
368,2010s,CFE2F7,0.12698080350221014
369,2010s,D09168,0.1965281352908305
370,2010s,D4D5C9,1.2154374657221313e-05
371,2010s,D9D9D9,0.02389144911787803
372,2010s,D9E4A7,0.047260260125495536
373,2010s,DBAC34,0.22198344728127098
374,2010s,DF6695,0.30260341438261995
375,2010s,DFEEA5,0.4433713302043381
376,2010s,E0E0E0,0.0001539554123248033
377,2010s,E1D5ED,0.23502914274668854
378,2010s,E4ADC8,1.248310997711696
379,2010s,E4CD9E,1.8455405052435796
380,2010s,E6E3E0,2.4308749314442625e-05
381,2010s,F08F1C,0.21268535066849667
382,2010s,F2CD37,11.251539604766476
383,2010s,F5CD2F,0.18022101595905857
384,2010s,F6D7B3,2.4043378801093294
385,2010s,F8BB3D,0.7315029358284266
386,2010s,F8F184,0.21619796494443363
387,2010s,FA9C1C,1.2154374657221313e-05
388,2010s,FCFCFC,0.9584413165116248
389,2010s,FE8A18,1.4601171819466536
390,2010s,FF698F,0.012061191118182617
391,2010s,FF800D,0.11363124867036206
392,2010s,FFF03A,0.6146912924560917
393,2010s,FFFFFF,11.658873214112152
